Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples
VHL	39	21	1	0	58	23	1	16	0	159	157	157
PBRM1	64	12	1	0	17	35	0	14	0	143	139	139
TTN	5	0	0	0	56	6	0	1	0	68	57	57
SETD2	12	2	0	0	11	15	0	4	0	44	41	41
BAP1	12	1	2	0	7	8	0	3	3	36	35	35
MTOR	0	0	1	0	23	0	0	0	0	24	23	23
MUC16	0	0	1	0	23	0	0	0	0	24	23	23
CSMD3	3	0	0	0	13	2	0	1	0	19	17	17
DNAH9	0	0	0	0	17	2	0	0	0	19	17	17
KDM5C	8	0	0	1	4	5	0	0	0	18	17	17
ATM	5	0	0	0	9	3	0	2	0	19	16	16
HMCN1	3	1	1	0	9	2	0	0	0	16	16	16
DST	3	0	0	0	11	1	0	0	0	15	15	15
KMT2C	2	0	0	0	10	2	0	1	0	15	15	15
LRP2	1	0	0	0	12	2	0	0	0	15	15	15
SPEN	2	0	0	0	13	1	0	0	0	16	14	14
DNAH2	1	0	0	0	13	0	0	0	0	14	14	14
FBN2	2	0	0	0	11	1	0	0	0	14	14	14
PTEN	5	3	0	0	3	2	0	2	0	15	13	13
AHNAK2	2	0	1	0	9	1	0	0	0	13	13	13
ARID1A	6	0	0	0	5	2	0	0	0	13	13	13
USH2A	0	2	0	0	8	2	1	0	0	13	13	13
ANK3	1	1	0	0	10	0	0	0	0	12	12	12
PCLO	2	0	0	0	9	1	0	0	0	12	12	12
ROS1	0	0	0	0	11	0	0	1	0	12	12	12
SMARCA4	0	0	0	1	9	0	0	2	0	12	12	12
SYNE1	1	0	0	0	9	1	0	1	0	12	12	12
BRCA2	0	0	0	0	11	0	0	0	0	11	11	11
DNAH3	2	0	0	0	7	1	0	1	0	11	11	11
FLG	1	0	0	0	9	1	0	0	0	11	11	11
PKHD1	0	1	0	0	9	1	0	0	0	11	11	11
ATRX	1	0	0	0	9	0	0	0	0	10	10	10
COL6A3	1	0	0	0	9	0	0	0	0	10	10	10
COL6A6	4	0	0	0	6	0	0	0	0	10	10	10
ERBB4	0	0	0	0	10	0	0	0	0	10	10	10
MACF1	0	0	1	0	8	1	0	0	0	10	10	10
MYCBP2	1	0	1	0	8	0	0	0	0	10	10	10
STAG2	4	0	0	0	4	2	0	0	0	10	10	10
XIRP2	0	0	0	0	8	2	0	0	0	10	10	10
AKAP9	1	0	0	0	7	2	0	0	0	10	9	9
ABCA13	0	0	0	1	7	1	0	0	0	9	9	9
ANK2	2	0	0	0	5	2	0	0	0	9	9	9
BIRC6	0	0	0	0	8	1	0	0	0	9	9	9
CENPF	0	0	0	0	9	0	0	0	0	9	9	9
CNOT1	2	0	0	0	5	0	0	2	0	9	9	9
CUBN	1	0	0	0	8	0	0	0	0	9	9	9
DYNC1H1	1	0	0	0	6	0	0	2	0	9	9	9
KIAA1549L	1	0	0	0	8	0	0	0	0	9	9	9
LRP1	1	0	0	0	6	1	0	1	0	9	9	9
LYST	2	1	0	0	5	1	0	0	0	9	9	9
MUC17	1	0	0	0	8	0	0	0	0	9	9	9
MYH2	1	0	0	0	4	1	0	3	0	9	9	9
NEB	3	2	0	0	4	0	0	0	0	9	9	9
NPHP3	2	0	0	0	6	0	0	1	0	9	9	9
PKHD1L1	0	0	0	0	9	0	0	0	0	9	9	9
POLE	2	1	0	0	6	0	0	0	0	9	9	9
PRKDC	0	0	0	0	6	3	0	0	0	9	9	9
SYNE2	2	1	0	0	6	0	0	0	0	9	9	9
TLN2	1	0	0	0	8	0	0	0	0	9	9	9
TP53	0	2	0	0	4	1	0	2	0	9	9	9
TRIOBP	1	0	0	0	7	1	0	0	0	9	9	9
WDFY3	1	1	0	0	6	0	0	1	0	9	9	9
ZFHX4	1	0	0	0	7	1	0	0	0	9	9	9
MYH4	1	0	0	0	7	1	0	1	0	10	8	8
ADGRV1	0	2	0	0	7	0	0	0	0	9	8	8
FAT4	0	2	1	0	6	0	0	0	0	9	8	8
RYR1	0	0	0	0	8	1	0	0	0	9	8	8
RYR3	0	0	0	0	9	0	0	0	0	9	8	8
VWF	0	0	0	0	8	0	0	1	0	9	8	8
ABCA7	1	0	0	0	7	0	0	0	0	8	8	8
ADAMTS12	2	0	0	0	6	0	0	0	0	8	8	8
CDK12	1	0	0	3	2	1	0	1	0	8	8	8
COL5A3	0	1	0	0	4	2	0	1	0	8	8	8
GRIN2B	0	0	0	0	8	0	0	0	0	8	8	8
KCNH7	0	0	0	0	6	0	0	2	0	8	8	8
KMT2D	0	0	0	0	8	0	0	0	0	8	8	8
LARP1	2	0	0	0	6	0	0	0	0	8	8	8
MTUS2	0	0	0	0	7	1	0	0	0	8	8	8
NF1	1	0	0	0	4	3	0	0	0	8	8	8
NOTCH2	1	1	0	0	5	0	0	1	0	8	8	8
PLXNA4	0	0	0	0	8	0	0	0	0	8	8	8
RALGAPA1	1	1	1	0	3	2	0	0	0	8	8	8
RANBP2	0	0	0	0	8	0	0	0	0	8	8	8
ROCK1	1	1	0	0	5	1	0	0	0	8	8	8
RTTN	0	1	2	0	4	1	0	0	0	8	8	8
RYR2	0	0	0	0	8	0	0	0	0	8	8	8
SCAF4	2	0	0	0	4	1	0	1	0	8	8	8
SLITRK6	0	0	0	0	6	2	0	0	0	8	8	8
THSD7B	2	0	0	0	6	0	0	0	0	8	8	8
UTRN	0	1	0	0	5	2	0	0	0	8	8	8
ITPR2	0	0	0	0	9	0	0	0	0	9	7	7
DIP2C	0	1	0	0	7	0	0	0	0	8	7	7
HYDIN	0	0	0	0	8	0	0	0	0	8	7	7
MUC2	0	0	0	0	7	1	0	0	0	8	7	7
POLR2A	1	0	0	0	6	1	0	0	0	8	7	7
ABCA12	1	0	0	0	6	0	0	0	0	7	7	7
ADGRG4	1	0	0	0	6	0	0	0	0	7	7	7
AHNAK	0	0	0	0	6	1	0	0	0	7	7	7
ALMS1	0	1	0	0	6	0	0	0	0	7	7	7
ARID1B	2	1	0	0	4	0	0	0	0	7	7	7
CASP8AP2	2	1	1	0	2	1	0	0	0	7	7	7
CELSR1	2	0	0	0	4	0	0	1	0	7	7	7
CELSR2	0	0	0	0	7	0	0	0	0	7	7	7
CHD4	0	0	0	0	7	0	0	0	0	7	7	7
COL4A5	0	0	0	0	6	0	0	1	0	7	7	7
CSMD1	1	0	0	0	4	2	0	0	0	7	7	7
DENND4A	2	0	0	0	4	1	0	0	0	7	7	7
EP300	1	0	0	0	6	0	0	0	0	7	7	7
ESPL1	0	0	0	0	5	0	1	1	0	7	7	7
FAT1	0	0	0	0	7	0	0	0	0	7	7	7
FAT3	0	0	0	0	7	0	0	0	0	7	7	7
FREM2	0	0	0	0	7	0	0	0	0	7	7	7
GON4L	0	0	0	0	5	0	0	2	0	7	7	7
LAMA3	1	1	0	0	5	0	0	0	0	7	7	7
LAMA4	1	0	0	0	5	0	0	1	0	7	7	7
LRP1B	1	0	0	0	6	0	0	0	0	7	7	7
MED13	1	0	1	0	4	1	0	0	0	7	7	7
MEGF10	1	0	0	0	6	0	0	0	0	7	7	7
NAV3	0	0	0	0	6	0	0	1	0	7	7	7
NMT2	2	0	0	0	5	0	0	0	0	7	7	7
NYNRIN	0	0	2	0	5	0	0	0	0	7	7	7
PRPF8	1	0	1	0	4	1	0	0	0	7	7	7
PXDN	0	0	0	0	7	0	0	0	0	7	7	7
SPTA1	0	0	0	0	6	1	0	0	0	7	7	7
SVEP1	1	0	0	0	6	0	0	0	0	7	7	7
