miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.352682	N	precursor
hsa-let-7a-1	hg38:chr9:94175960-94175983:+	3	1.058045	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175984:+	2	0.705363	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	5	1.763408	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	1	0.352682	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	6	2.116089	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	152	53.607597	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	4854	1711.916299	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	3274	1154.679432	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	6680	2355.912830	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	175	61.719273	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	1	0.352682	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	9	3.174134	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	14	4.937542	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	65	22.924301	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	2	0.705363	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175986:+	1	0.352682	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	1	0.352682	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	6	2.116089	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	15	5.290223	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	2	0.705363	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	2	0.705363	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.352682	N	stemloop
hsa-let-7a-1	hg38:chr9:94176008-94176029:+	1	0.352682	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.352682	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	6	2.116089	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	16	5.642905	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	9	3.174134	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.352682	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.352682	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.352682	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176016-94176036:+	1	0.352682	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	10	3.526816	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	5	1.763408	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.352682	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	4	1.410726	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146583:-	1	0.352682	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	2	0.705363	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	2	0.705363	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	144	50.786145	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	3	1.058045	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	23	8.111676	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	52	18.339441	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	6708	2365.787914	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	1	0.352682	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	6	2.116089	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	9	3.174134	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	3418	1205.465577	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	1	0.352682	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	9	3.174134	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	4944	1743.657639	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	2	0.705363	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	153	53.960279	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	1	0.352682	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	1	0.352682	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	1	0.352682	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	1	0.352682	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	57	20.102849	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	76	26.803799	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	25	8.817039	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	171	60.308547	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	4883	1722.144064	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	3287	1159.264292	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	6597	2326.640260	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	208	73.357765	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	1	0.352682	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	10	3.526816	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	16	5.642905	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	66	23.276983	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	1	0.352682	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112772:+	1	0.352682	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	5	1.763408	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	17	5.995587	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	1	0.352682	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112772:+	1	0.352682	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	1	0.352682	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	11	3.879497	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	1	0.352682	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112759-46112775:+	1	0.352682	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	5	1.763408	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	15	5.290223	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	12	4.232179	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	1	0.352682	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	1	0.352682	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	1	0.352682	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112825:+	1	0.352682	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113671-46113691:+	1	0.352682	N	precursor
hsa-let-7b	hg38:chr22:46113690-46113713:+	1	0.352682	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	15	5.290223	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	42	14.812626	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	856	301.895417	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	25128	8862.182274	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	4817	1698.867081	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	9176	3236.206007	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	2034	717.354296	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	2	0.705363	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113709:+	1	0.352682	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	26	9.169721	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	20	7.053631	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	83	29.272570	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	40	14.107262	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	2	0.705363	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	1	0.352682	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	14	4.937542	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	9	3.174134	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113711:+	1	0.352682	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113712:+	3	1.058045	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	10	3.526816	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	7	2.468771	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	1	0.352682	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113764:+	1	0.352682	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	6	2.116089	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	41	14.459944	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113767:+	1	0.352682	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113765:+	1	0.352682	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113766:+	2	0.705363	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113748-46113766:+	1	0.352682	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539837-16539856:+	1	0.352682	Y	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	4	1.410726	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	49	17.281397	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	30	10.580447	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	16	5.642905	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	400	141.072625	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	1853	653.518933	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	980	345.627930	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	3561	1255.899040	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	197	69.478268	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539857:+	1	0.352682	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539858:+	4	1.410726	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539859:+	11	3.879497	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	33	11.638492	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539861:+	1	0.352682	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	5	1.763408	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539860-16539881:+	1	0.352682	N	stemloop
hsa-let-7c	hg38:chr21:16539860-16539882:+	1	0.352682	N	stemloop
hsa-let-7c	hg38:chr21:16539883-16539903:+	1	0.352682	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	16	5.642905	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	29	10.227765	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539906:+	1	0.352682	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178822-94178841:+	1	0.352682	N	precursor
hsa-let-7d	hg38:chr9:94178824-94178841:+	1	0.352682	N	precursor
hsa-let-7d	hg38:chr9:94178840-94178862:+	1	0.352682	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178859:+	4	1.410726	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178860:+	2	0.705363	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	96	33.857430	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	234	82.527485	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	628	221.484021	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	39	13.754581	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178861:+	6	2.116089	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178862:+	15	5.290223	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	58	20.455531	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178864:+	5	1.763408	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178843-94178862:+	8	2.821452	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178843-94178863:+	11	3.879497	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178843-94178864:+	1	0.352682	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178844-94178863:+	2	0.705363	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178913:+	1	0.352682	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178915:+	55	19.397486	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	217	76.531899	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	564	198.912401	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178918:+	3	1.058045	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178915:+	3	1.058045	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178916:+	12	4.232179	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	42	14.812626	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178897-94178916:+	1	0.352682	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178897-94178917:+	3	1.058045	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178898-94178915:+	1	0.352682	N	mature,MIMAT0004484
