miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175960-94175982:+	1	0.634461	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175984:+	1	0.634461	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	2	1.268923	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	2	1.268923	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	2	1.268923	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	101	64.080602	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	2944	1867.854378	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	2578	1635.641504	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	4527	2872.206784	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	94	59.639372	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	1	0.634461	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	3	1.903384	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	12	7.613537	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	27	17.130458	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	2	1.268923	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	1	0.634461	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	3	1.903384	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	17	10.785844	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.634461	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	2	1.268923	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176008-94176028:+	1	0.634461	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176008-94176029:+	1	0.634461	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176008-94176030:+	1	0.634461	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	4	2.537846	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	11	6.979075	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	2	1.268923	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.634461	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.634461	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176037:+	1	0.634461	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	1	0.634461	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	5	3.172307	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	13	8.247998	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146527-122146546:-	1	0.634461	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146529-122146548:-	1	0.634461	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	2	1.268923	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	2	1.268923	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	85	53.929219	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	1	0.634461	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	10	6.344614	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	21	13.323690	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	4594	2914.715698	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	1	0.634461	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	4	2.537846	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	8	5.075691	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	2622	1663.557806	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	1	0.634461	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	2	1.268923	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	2894	1836.131308	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	2	1.268923	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	98	62.177218	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146609:-	1	0.634461	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	2	1.268923	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	1	0.634461	N	mature,MIMAT0000062
