miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175938-94175962:+	1	0.424901	N	precursor
hsa-let-7a-1	hg38:chr9:94175960-94175984:+	4	1.699603	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	2	0.849801	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	3	1.274702	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	5	2.124504	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	62	26.343844	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	1654	702.785777	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	1576	669.643521	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	5580	2370.945969	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	282	119.822001	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	19	8.073114	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	4	1.699603	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	5	2.124504	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	17	7.223312	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	2	0.849801	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175986:+	1	0.424901	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	2	0.849801	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	3	1.274702	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	1	0.424901	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	1	0.424901	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	7	2.974305	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	7	2.974305	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.424901	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.424901	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	2	0.849801	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	8	3.399206	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	255	108.349681	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	1	0.424901	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	4	1.699603	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	4	1.699603	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	20	8.498014	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	5607	2382.418288	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	2	0.849801	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	2	0.849801	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	6	2.549404	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	1626	690.888557	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	1	0.424901	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	1	0.424901	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	1639	696.412266	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	71	30.167951	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	1	0.424901	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112769:+	1	0.424901	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	1	0.424901	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	15	6.373511	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	30	12.747021	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	44	18.695631	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.424901	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	72	30.592851	N	mature,MIMAT0000062
