miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	1	0.152492	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	1	0.152492	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	12	1.829908	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	29	4.422277	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	38	5.794708	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	3	0.457477	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	413	62.979321	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	8982	1369.685872	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	26537	4046.688264	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	61756	9417.314708	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1717	261.829285	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	26	3.964800	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175981:+	2	0.304985	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	4	0.609969	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	30	4.574769	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	80	12.199384	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	7	1.067446	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	4	0.609969	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	24	3.659815	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	2	0.304985	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	3	0.457477	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	4	0.609969	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	1	0.152492	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	2	0.304985	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.152492	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	3	0.457477	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	16	2.439877	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	18	2.744861	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.152492	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.152492	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	8	1.219938	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.152492	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146548:-	1	0.152492	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	14	2.134892	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146583:-	2	0.304985	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146585:-	1	0.152492	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	1	0.152492	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	3	0.457477	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	1	0.152492	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	1541	234.990640	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	5	0.762462	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	24	3.659815	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	112	17.079138	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	61875	9435.461292	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	6	0.914954	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	2	0.304985	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	3	0.457477	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	31	4.727261	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	26495	4040.283587	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	3	0.457477	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146586:-	1	0.152492	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	11	1.677415	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	9168	1398.049440	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	3	0.457477	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	378	57.642091	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146591:-	1	0.152492	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	2	0.304985	Y	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	11	1.677415	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	8	1.219938	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	141	21.501415	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	247	37.665599	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	125	19.061538	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	4	0.609969	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	403	61.454398	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	9136	1393.169687	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	26454	4034.031402	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	61725	9412.587447	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	1651	251.764793	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	8	1.219938	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	4	0.609969	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	32	4.879754	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	80	12.199384	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	3	0.457477	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112772:+	1	0.152492	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	8	1.219938	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	17	2.592369	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	2	0.304985	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112772:+	2	0.304985	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	2	0.304985	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	5	0.762462	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112775:+	1	0.152492	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	2	0.304985	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	10	1.524923	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	15	2.287385	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	16	2.439877	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	1	0.152492	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112823:+	1	0.152492	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112824:+	2	0.304985	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113690-46113713:+	1	0.152492	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113690-46113714:+	1	0.152492	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	12	1.829908	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	66	10.064492	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	1249	190.462887	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	30518	4653.760125	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	9442	1439.832332	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	27611	4210.464998	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	7193	1096.877141	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	3	0.457477	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	18	2.744861	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	16	2.439877	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	67	10.216984	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	24	3.659815	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	6	0.914954	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	17	2.592369	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	9	1.372431	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113711:+	1	0.152492	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113712:+	3	0.457477	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	7	1.067446	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	11	1.677415	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113714:+	1	0.152492	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	2	0.304985	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113762:+	1	0.152492	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113763:+	1	0.152492	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113764:+	2	0.304985	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	34	5.184738	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	181	27.601107	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113766:+	1	0.152492	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539857:+	1	0.152492	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539858:+	4	0.609969	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	3	0.457477	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539856:+	2	0.304985	Y	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	8	1.219938	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	86	13.114338	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	67	10.216984	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	74	11.284430	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	1	0.152492	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	618	94.240244	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	2622	399.834820	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	2474	377.265959	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	11755	1792.547030	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	776	118.334028	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	5	0.762462	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539857:+	1	0.152492	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539858:+	1	0.152492	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539859:+	3	0.457477	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	27	4.117292	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539840-16539860:+	1	0.152492	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	3	0.457477	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539860:+	1	0.152492	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539843-16539860:+	1	0.152492	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539860-16539882:+	1	0.152492	N	stemloop
hsa-let-7c	hg38:chr21:16539883-16539903:+	7	1.067446	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	31	4.727261	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	69	10.521969	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539906:+	3	0.457477	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539884-16539905:+	1	0.152492	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539884-16539906:+	1	0.152492	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178840-94178862:+	2	0.304985	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178857:+	1	0.152492	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178858:+	1	0.152492	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178859:+	4	0.609969	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178860:+	5	0.762462	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	137	20.891446	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	354	53.982276	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	1052	160.421904	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	75	11.436923	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178865:+	1	0.152492	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178861:+	3	0.457477	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178862:+	13	1.982400	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	26	3.964800	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178864:+	1	0.152492	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178843-94178861:+	1	0.152492	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178843-94178862:+	5	0.762462	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178843-94178863:+	9	1.372431	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178843-94178864:+	1	0.152492	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178844-94178861:+	1	0.152492	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178844-94178863:+	1	0.152492	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178845-94178863:+	1	0.152492	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178911:+	2	0.304985	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178912:+	1	0.152492	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178913:+	5	0.762462	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178914:+	1	0.152492	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178915:+	63	9.607015	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	441	67.249106	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	1189	181.313349	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178918:+	7	1.067446	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178915:+	1	0.152492	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178916:+	8	1.219938	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	36	5.489723	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178918:+	1	0.152492	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178898-94178917:+	1	0.152492	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178900-94178917:+	1	0.152492	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692771-51692793:+	2	0.304985	N	precursor
hsa-let-7e	hg38:chr19:51692772-51692793:+	4	0.609969	N	precursor
hsa-let-7e	hg38:chr19:51692774-51692793:+	1	0.152492	N	precursor
hsa-let-7e	hg38:chr19:51692793-51692810:+	6	0.914954	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692811:+	48	7.319631	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692812:+	46	7.014646	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692813:+	815	124.281228	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692814:+	2922	445.582511	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692815:+	8210	1251.961813	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692816:+	329	50.169968	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692817:+	22	3.354831	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692813:+	2	0.304985	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692814:+	3	0.457477	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692815:+	15	2.287385	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692816:+	1	0.152492	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692797-51692815:+	1	0.152492	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692837-51692859:+	1	0.152492	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692857:+	1	0.152492	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692858:+	7	1.067446	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692859:+	21	3.202338	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692860:+	55	8.387077	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692839-51692858:+	1	0.152492	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692839-51692860:+	3	0.457477	N	mature,MIMAT0004485
hsa-let-7f-1	hg38:chr9:94176353-94176369:+	11	1.677415	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176370:+	20	3.049846	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176371:+	154	23.483815	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176372:+	169	25.771199	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176373:+	3618	551.717155	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176374:+	15115	2304.921171	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176375:+	48556	7404.416299	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176376:+	260	39.647999	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176377:+	15	2.287385	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176354-94176372:+	2	0.304985	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176354-94176373:+	6	0.914954	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176354-94176374:+	31	4.727261	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176354-94176375:+	156	23.788799	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176354-94176376:+	1	0.152492	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176355-94176376:+	1	0.152492	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176355-94176377:+	3	0.457477	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176356-94176374:+	1	0.152492	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176356-94176375:+	9	1.372431	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176357-94176373:+	1	0.152492	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176357-94176375:+	3	0.457477	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176379:+	24	3.659815	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176380:+	5	0.762462	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176381:+	1	0.152492	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176409-94176426:+	1	0.152492	N	mature,MIMAT0004486
hsa-let-7f-1	hg38:chr9:94176409-94176430:+	10	1.524923	N	mature,MIMAT0004486
hsa-let-7f-2	hg38:chrX:53557200-53557218:-	1	0.152492	N	mature,MIMAT0004487
hsa-let-7f-2	hg38:chrX:53557240-53557263:-	2	0.304985	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557244-53557268:-	7	1.067446	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557245-53557267:-	6	0.914954	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557245-53557268:-	1341	204.492179	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557245-53557269:-	1	0.152492	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557264:-	1	0.152492	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557265:-	9	1.372431	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557266:-	2	0.304985	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557267:-	164	25.008738	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557268:-	48338	7371.172977	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557269:-	43	6.557169	N	mature,MIMAT0000067
