miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175960-94175982:+	2	1.122109	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175983:+	3	1.683164	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175984:+	1	0.561055	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	1	0.561055	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	2	1.122109	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	132	74.059196	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	3730	2092.733334	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	3466	1944.614943	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	4367	2450.125059	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	113	63.399160	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	1	0.561055	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	7	3.927382	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	18	10.098981	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	33	18.514799	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	3	1.683164	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	1	0.561055	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	10	5.610545	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	19	10.660036	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	1	0.561055	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	1	0.561055	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	5	2.805273	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	1	0.561055	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	2	1.122109	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176010-94176033:+	1	0.561055	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.561055	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	4	2.244218	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	12	6.732654	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	5	2.805273	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.561055	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.561055	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176016-94176035:+	1	0.561055	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	3	1.683164	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	1	0.561055	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	1	0.561055	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146583:-	1	0.561055	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	1	0.561055	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	87	48.811743	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	1	0.561055	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	4	2.244218	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	18	10.098981	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	1	0.561055	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	34	19.075853	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	4369	2451.247168	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	2	1.122109	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	3	1.683164	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146588:-	1	0.561055	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	20	11.221090	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	3526	1978.278213	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	2	1.122109	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146586:-	2	1.122109	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	7	3.927382	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	3747	2102.271261	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	2	1.122109	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	129	72.376032	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	3	1.683164	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	23	12.904254	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	30	16.831635	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	12	6.732654	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	141	79.108686	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	3774	2117.419733	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	3523	1976.595050	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	4295	2409.729134	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	108	60.593887	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	6	3.366327	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	13	7.293709	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	39	21.881126	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112772:+	5	2.805273	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	6	3.366327	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	19	10.660036	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	1	0.561055	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112772:+	1	0.561055	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	1	0.561055	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	5	2.805273	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112759-46112775:+	1	0.561055	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	3	1.683164	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	10	5.610545	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	6	3.366327	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112820:+	2	1.122109	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112823:+	1	0.561055	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	15	8.415818	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	33	18.514799	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	1144	641.846363	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	31161	17483.019685	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	5370	3012.862736	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	8650	4853.121539	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	2020	1133.330117	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113710:+	3	1.683164	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	38	21.320072	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	17	9.537927	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	66	37.029598	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	25	14.026363	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113693-46113714:+	1	0.561055	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	4	2.244218	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	1	0.561055	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	18	10.098981	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	9	5.049491	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	12	6.732654	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	7	3.927382	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113714:+	2	1.122109	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	6	3.366327	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113763:+	1	0.561055	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	12	6.732654	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	59	33.102216	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113765:+	2	1.122109	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113766:+	2	1.122109	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113747-46113766:+	1	0.561055	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539858:+	1	0.561055	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	1	0.561055	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539854:+	1	0.561055	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	3	1.683164	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	32	17.953744	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	13	7.293709	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	4	2.244218	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	2	1.122109	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	302	169.438463	N	mature,MIMAT0000064
