miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175938-94175962:+	1	0.111960	N	precursor
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.111960	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	1	0.111960	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	7	0.783718	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	13	1.455476	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	4	0.447839	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	347	38.850026	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	14305	1601.583917	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	16629	1861.778326	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	21578	2415.867022	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	412	46.127408	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	4	0.447839	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	5	0.559799	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	4	0.447839	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	15	1.679396	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.111960	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	2	0.223919	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.111960	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	11	1.231557	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	23	2.575074	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	7	0.783718	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	1	0.111960	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	4	0.447839	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	5	0.559799	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176013:+	1	0.111960	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.111960	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	12	1.343517	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	21	2.351154	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	4	0.447839	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	3	0.335879	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	2	0.223919	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	11	1.231557	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	5	0.559799	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146546:-	1	0.111960	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.111960	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146546:-	1	0.111960	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146584:-	1	0.111960	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	5	0.559799	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.111960	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	404	45.231730	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	7	0.783718	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	21	2.351154	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	2	0.223919	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	8	0.895678	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	21617	2420.233452	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	2	0.223919	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	2	0.223919	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	8	0.895678	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146588:-	5	0.559799	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	5	0.559799	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	16703	1870.063346	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	5	0.559799	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	1	0.111960	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	10	1.119597	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	14276	1598.337085	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	2	0.223919	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	378	42.320777	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	1	0.111960	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	2	0.223919	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112769:+	2	0.223919	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	9	1.007638	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	11	1.231557	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	153	17.129838	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	235	26.310536	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	79	8.844819	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.111960	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	368	41.201180	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	14388	1610.876574	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	16767	1877.228768	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	21681	2427.398874	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	399	44.671932	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	1	0.111960	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	5	0.559799	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	2	0.223919	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	11	1.231557	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	1	0.111960	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112773:+	2	0.223919	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	4	0.447839	N	mature,MIMAT0000062
