miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175960-94175982:+	1	0.651204	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	1	0.651204	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	2	1.302408	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	5	3.256020	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	100	65.120404	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	2808	1828.580955	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	3205	2087.108960	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	5890	3835.591817	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	96	62.515588	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	3	1.953612	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	5	3.256020	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	15	9.768061	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	37	24.094550	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	1	0.651204	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	2	1.302408	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	13	8.465653	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	1	0.651204	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	1	0.651204	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176008-94176029:+	1	0.651204	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	6	3.907224	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	12	7.814449	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	8	5.209632	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.651204	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.651204	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	4	2.604816	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	1	0.651204	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.651204	N	mature,MIMAT0010195
