miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175960-94175983:+	1	0.250582	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175984:+	2	0.501164	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	1	0.250582	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	9	2.255240	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	13	3.257569	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	10	2.505822	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	239	59.889152	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	5996	1502.491038	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	11702	2932.313230	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	19573	4904.645945	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	358	89.708438	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	9	2.255240	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175981:+	1	0.250582	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	4	1.002329	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	18	4.510480	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	28	7.016302	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.250582	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	2	0.501164	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	9	2.255240	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	1	0.250582	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176008-94176030:+	1	0.250582	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	2	0.501164	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	9	2.255240	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	7	1.754076	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	1	0.250582	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	2	0.501164	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146544:-	1	0.250582	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	36	9.020960	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	6	1.503493	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	4	1.002329	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146546:-	2	0.501164	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146548:-	1	0.250582	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146527-122146545:-	2	0.501164	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146527-122146547:-	2	0.501164	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146527-122146548:-	3	0.751747	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146528-122146546:-	1	0.250582	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146565-122146586:-	1	0.250582	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	2	0.501164	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	352	88.204944	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	4	1.002329	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	7	1.754076	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	29	7.266885	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	19472	4879.337140	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	2	0.501164	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	18	4.510480	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	11824	2962.884262	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	2	0.501164	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146586:-	1	0.250582	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	7	1.754076	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	5775	1447.112366	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	2	0.501164	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	274	68.659530	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146591:-	1	0.250582	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	1	0.250582	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	1	0.250582	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	3	0.751747	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	2	0.501164	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	1	0.250582	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	37	9.271542	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	55	13.782023	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	25	6.264556	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	229	57.383330	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	5867	1470.165931	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	11941	2992.202382	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	19778	4956.015302	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	353	88.455526	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	1	0.250582	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112771:+	1	0.250582	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	5	1.252911	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	8	2.004658	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	23	5.763391	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112772:+	2	0.501164	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	10	2.505822	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	11	2.756405	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112772:+	1	0.250582	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	1	0.250582	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	1	0.250582	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112775:+	1	0.250582	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	5	1.252911	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	4	1.002329	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	5	1.252911	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112803-46112824:+	1	0.250582	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	26	6.515138	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	34	8.519796	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	915	229.282738	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	18795	4709.692972	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	7260	1819.226974	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	14418	3612.894561	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	1856	465.080615	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	13	3.257569	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	16	4.009316	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	32	8.018631	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	3	0.751747	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	2	0.501164	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	1	0.250582	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	9	2.255240	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	2	0.501164	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113712:+	2	0.501164	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	5	1.252911	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	1	0.250582	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113713:+	2	0.501164	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113714:+	1	0.250582	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113717:+	2	0.501164	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113697-46113714:+	1	0.250582	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	1	0.250582	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113762:+	1	0.250582	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113763:+	1	0.250582	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113764:+	2	0.501164	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	28	7.016302	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	31	7.768049	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113767:+	1	0.250582	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113765:+	1	0.250582	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113766:+	1	0.250582	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539857:+	3	0.751747	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539858:+	5	1.252911	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	1	0.250582	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539856:+	1	0.250582	Y	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	38	9.522125	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	101	25.308805	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	105	26.311134	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	68	17.039591	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	853	213.746640	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	3815	955.971199	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	2932	734.707092	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	8293	2078.078415	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	220	55.128090	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	2	0.501164	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539858:+	4	1.002329	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539859:+	7	1.754076	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	18	4.510480	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539861:+	2	0.501164	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	3	0.751747	N	mature,MIMAT0000064
