miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175960-94175983:+	1	0.428485	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	2	0.856970	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	1	0.428485	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	6	2.570911	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	31	13.283041	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	791	338.931778	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	978	419.058507	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	3933	1685.232215	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	89	38.135181	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	4	1.713941	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.428485	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	3	1.285456	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	12	5.141822	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	2	0.856970	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	6	2.570911	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	3	1.285456	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	2	0.856970	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	3	1.285456	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	1	0.428485	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	2	0.856970	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	1	0.428485	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	1	0.428485	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	1	0.428485	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	95	40.706092	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	1	0.428485	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	1	0.428485	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	20	8.569704	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	4013	1719.511030	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	1	0.428485	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	3	1.285456	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	1	0.428485	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	1026	439.625795	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	1	0.428485	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	803	344.073600	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	34	14.568496	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	4	1.713941	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	10	4.284852	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	5	2.142426	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	29	12.426070	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	774	331.647530	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	962	412.202744	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	4067	1742.649230	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	91	38.992151	N	mature,MIMAT0000062
