miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175960-94175982:+	1	0.486077	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	1	0.486077	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	6	2.916461	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	1	0.486077	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	2	0.972154	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	187	90.896365	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	5073	2465.867686	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	3241	1575.374960	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	5434	2641.341416	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	174	84.577366	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	2	0.972154	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175981:+	1	0.486077	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	13	6.318999	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	14	6.805075	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	43	20.901303	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	2	0.972154	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	4	1.944307	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	19	9.235459	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.486077	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	6	2.916461	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	9	4.374691	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	32	15.554458	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	25	12.151920	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	2	0.972154	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	2	0.972154	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.486077	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176035:+	1	0.486077	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	19	9.235459	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	4	1.944307	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146547-122146568:-	1	0.486077	N	stemloop
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	5	2.430384	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146584:-	2	0.972154	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.486077	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	1	0.486077	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	154	74.855830	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146591:-	1	0.486077	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	7	3.402538	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	15	7.291152	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	1	0.486077	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	43	20.901303	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	5408	2628.703419	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	1	0.486077	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	2	0.972154	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146588:-	1	0.486077	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	9	4.374691	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	3149	1530.655893	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	1	0.486077	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146588:-	1	0.486077	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	6	2.916461	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	5120	2488.713296	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	3	1.458230	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	188	91.382441	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	7	3.402538	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	4	1.944307	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	36	17.498765	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	45	21.873457	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	21	10.207613	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.486077	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	186	90.410288	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	4973	2417.260004	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	3338	1622.524411	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	5551	2698.212404	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	168	81.660905	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	2	0.972154	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112781:+	1	0.486077	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	4	1.944307	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	10	4.860768	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	33	16.040535	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	2	0.972154	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112772:+	1	0.486077	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	3	1.458230	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	21	10.207613	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	2	0.972154	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112772:+	1	0.486077	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	3	1.458230	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112775:+	3	1.458230	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112817:+	1	0.486077	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112819:+	1	0.486077	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	18	8.749383	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	36	17.498765	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	13	6.318999	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112820:+	2	0.972154	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	1	0.486077	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	2	0.972154	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112823:+	1	0.486077	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112824:+	1	0.486077	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112825:+	1	0.486077	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112803-46112824:+	1	0.486077	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112803-46112825:+	1	0.486077	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112804-46112824:+	1	0.486077	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113690-46113713:+	1	0.486077	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	16	7.777229	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	51	24.789918	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	901	437.955211	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	25607	12446.969019	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	5579	2711.822555	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	9455	4595.856292	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	1969	957.085250	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	3	1.458230	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	25	12.151920	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	38	18.470919	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	83	40.344376	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	16	7.777229	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113693-46113713:+	3	1.458230	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	3	1.458230	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	1	0.486077	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	19	9.235459	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	9	4.374691	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113711:+	1	0.486077	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113712:+	1	0.486077	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	10	4.860768	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	8	3.888615	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113713:+	1	0.486077	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113714:+	3	1.458230	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113697-46113714:+	2	0.972154	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	3	1.458230	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113764:+	2	0.972154	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	15	7.291152	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	78	37.913992	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113765:+	2	0.972154	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113766:+	1	0.486077	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539837-16539857:+	5	2.430384	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	30	14.582304	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	14	6.805075	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	12	5.832922	N	mature,MIMAT0000064
