miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175960-94175982:+	4	1.681262	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175983:+	3	1.260947	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175984:+	3	1.260947	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	1	0.420316	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	11	4.623471	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	9	3.782840	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	22	9.246942	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	175	73.555218	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	4983	2094.432290	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	10239	4303.610721	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	22093	9286.031023	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	547	229.912595	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	21	8.826626	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	4	1.681262	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	15	6.304733	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	38	15.971990	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.420316	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	2	0.840631	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	1	0.420316	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	9	3.782840	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	1	0.420316	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	3	1.260947	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	2	0.840631	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	1	0.420316	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176008-94176029:+	1	0.420316	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.420316	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	5	2.101578	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	10	4.203155	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	6	2.521893	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	3	1.260947	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.420316	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	6	2.521893	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146583:-	1	0.420316	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.420316	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	1	0.420316	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	522	219.404707	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	1	0.420316	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	4	1.681262	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	8	3.362524	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	36	15.131359	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	22450	9436.083668	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	1	0.420316	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	3	1.260947	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	15	6.304733	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	10288	4324.206182	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	3	1.260947	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	5	2.101578	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	5001	2101.997970	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146589:-	1	0.420316	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	183	76.917742	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	7	2.942209	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	7	2.942209	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	69	29.001772	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	105	44.133131	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	31	13.029781	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	198	83.222475	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	4983	2094.432290	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	10146	4264.521376	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	22317	9380.181702	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	543	228.231333	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	4	1.681262	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	3	1.260947	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	14	5.884417	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	41	17.232937	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	1	0.420316	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	1	0.420316	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	7	2.942209	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	12	5.043786	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	1	0.420316	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112775:+	1	0.420316	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112795-46112816:+	1	0.420316	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112795-46112817:+	1	0.420316	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	6	2.521893	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	10	4.203155	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	3	1.260947	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112820:+	2	0.840631	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	1	0.420316	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112824:+	1	0.420316	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113673-46113691:+	1	0.420316	N	precursor
hsa-let-7b	hg38:chr22:46113690-46113713:+	2	0.840631	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	13	5.464102	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	23	9.667257	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	900	378.283978	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	16906	7105.854365	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	5034	2115.868382	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	12664	5322.875883	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	3247	1364.764529	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	3	1.260947	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113710:+	2	0.840631	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	13	5.464102	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	16	6.725048	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	37	15.551675	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	20	8.406311	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	6	2.521893	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	1	0.420316	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	8	3.362524	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	3	1.260947	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113712:+	2	0.840631	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	6	2.521893	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	5	2.101578	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113712:+	1	0.420316	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	5	2.101578	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113721-46113743:+	1	0.420316	N	stemloop
hsa-let-7b	hg38:chr22:46113740-46113763:+	1	0.420316	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113762:+	1	0.420316	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113764:+	1	0.420316	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	27	11.348519	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	49	20.595461	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113765:+	1	0.420316	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539858:+	1	0.420316	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	14	5.884417	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	7	2.942209	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	10	4.203155	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	122	51.278495	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	431	181.155994	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	376	158.038640	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	1182	496.812957	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	82	34.465874	N	mature,MIMAT0000064
