miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.324543	N	precursor
hsa-let-7a-1	hg38:chr9:94175960-94175982:+	1	0.324543	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175983:+	1	0.324543	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175984:+	2	0.649086	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	2	0.649086	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	3	0.973630	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	12	3.894518	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	126	40.892442	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	2323	753.913829	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	5410	1755.778654	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	13742	4459.872506	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	272	88.275747	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	4	1.298173	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	4	1.298173	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	20	6.490864	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	80	25.963455	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	2	0.649086	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	1	0.324543	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	2	0.649086	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	6	1.947259	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	15	4.868148	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.324543	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	4	1.298173	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	13	4.219061	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	1	0.324543	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	3	0.973630	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	5	1.622716	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	3	0.973630	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	2	0.649086	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176016-94176035:+	1	0.324543	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146544:-	1	0.324543	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	16	5.192691	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	2	0.649086	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146583:-	2	0.649086	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	1	0.324543	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	1	0.324543	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	256	83.083056	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	2	0.649086	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	9	2.920889	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	24	7.789037	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	77	24.989826	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	14014	4548.148254	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	2	0.649086	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	2	0.649086	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	7	2.271802	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	24	7.789037	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	5363	1740.525124	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	1	0.324543	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146586:-	1	0.324543	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	6	1.947259	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	2312	750.343854	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	126	40.892442	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	1	0.324543	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146573-122146591:-	1	0.324543	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	1	0.324543	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	1	0.324543	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	3	0.973630	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	18	5.841777	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	40	12.981728	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	27	8.762666	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	131	42.515158	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	2391	775.982765	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	5214	1692.168189	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	14051	4560.156352	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	237	76.916736	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	5	1.622716	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	18	5.841777	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	111	36.024294	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	3	0.973630	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	1	0.324543	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	22	7.139950	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	2	0.649086	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	3	0.973630	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	13	4.219061	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	1	0.324543	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112759-46112775:+	2	0.649086	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	3	0.973630	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	7	2.271802	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	7	2.271802	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	60	19.472591	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	313	101.582018	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	4539	1473.101536	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	1900	616.632060	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	6507	2111.802532	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	1397	453.386835	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	6	1.947259	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	10	3.245432	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	13	4.219061	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	63	20.446221	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	24	7.789037	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	1	0.324543	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	1	0.324543	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	13	4.219061	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	4	1.298173	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	12	3.894518	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	6	1.947259	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113714:+	1	0.324543	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113697-46113713:+	1	0.324543	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	9	2.920889	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113762:+	2	0.649086	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	6	1.947259	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	25	8.113580	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113765:+	1	0.324543	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539858:+	2	0.649086	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	2	0.649086	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539855:+	1	0.324543	Y	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539856:+	1	0.324543	Y	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	2	0.649086	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	11	3.569975	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	30	9.736296	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	31	10.060839	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	4	1.298173	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	299	97.038414	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	741	240.486503	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	834	270.669020	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	3938	1278.051079	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	195	63.285922	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	1	0.324543	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539858:+	1	0.324543	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539859:+	3	0.973630	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	21	6.815407	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539861:+	1	0.324543	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539859:+	1	0.324543	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	4	1.298173	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539860:+	2	0.649086	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539845-16539861:+	1	0.324543	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539883-16539904:+	6	1.947259	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	26	8.438123	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178821-94178840:+	1	0.324543	N	precursor
hsa-let-7d	hg38:chr9:94178841-94178859:+	4	1.298173	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178860:+	1	0.324543	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	20	6.490864	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	112	36.348837	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	299	97.038414	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	19	6.166321	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178862:+	4	1.298173	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	44	14.279900	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178864:+	1	0.324543	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178843-94178862:+	3	0.973630	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178843-94178863:+	9	2.920889	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178844-94178863:+	1	0.324543	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178845-94178863:+	2	0.649086	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178894-94178916:+	1	0.324543	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178911:+	2	0.649086	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178913:+	1	0.324543	N	mature,MIMAT0004484
