miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175960-94175980:+	1	0.462467	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175982:+	3	1.387400	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175983:+	3	1.387400	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175984:+	2	0.924933	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	1	0.462467	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	2	0.924933	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	5	2.312333	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	94	43.471867	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	2875	1329.591670	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	2158	998.003069	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	4784	2212.440538	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	118	54.571067	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	4	1.849867	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	8	3.699733	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	10	4.624667	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	42	19.423600	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	5	2.312333	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	17	7.861933	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	3	1.387400	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	7	3.237267	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	1	0.462467	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	1	0.462467	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176008-94176030:+	1	0.462467	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	3	1.387400	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	6	2.774800	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	12	5.549600	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.462467	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.462467	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.462467	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	1	0.462467	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	16	7.399467	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	4	1.849867	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.462467	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	1	0.462467	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	1	0.462467	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	95	43.934333	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	1	0.462467	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	2	0.924933	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	16	7.399467	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	39	18.036200	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	4730	2187.467338	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	2	0.924933	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	1	0.462467	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	9	4.162200	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	8	3.699733	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	2143	991.066069	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	2	0.924933	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	1	0.462467	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	12	5.549600	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	2930	1355.027336	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	3	1.387400	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	121	55.958467	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	3	1.387400	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	2	0.924933	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	51	23.585800	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	67	30.985267	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	20	9.249333	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.462467	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	120	55.496000	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	2885	1334.216336	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	2183	1009.564736	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	4626	2139.370805	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	126	58.270800	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112771:+	1	0.462467	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	10	4.624667	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	9	4.162200	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	32	14.798933	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	2	0.924933	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	6	2.774800	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	8	3.699733	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	3	1.387400	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	6	2.774800	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112775:+	1	0.462467	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	2	0.924933	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	7	3.237267	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	8	3.699733	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112820:+	1	0.462467	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	2	0.924933	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	1	0.462467	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	1	0.462467	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112823:+	3	1.387400	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112824:+	1	0.462467	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112803-46112821:+	1	0.462467	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112803-46112824:+	1	0.462467	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113690-46113707:+	1	0.462467	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	7	3.237267	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	40	18.498667	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	501	231.695801	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	11860	5484.854679	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	2671	1235.248469	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	6181	2858.506473	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	1120	517.962668	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	1	0.462467	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113709:+	1	0.462467	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113710:+	1	0.462467	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	31	14.336467	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	19	8.786867	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	57	26.360600	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	28	12.949067	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	3	1.387400	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	2	0.924933	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	10	4.624667	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	7	3.237267	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113711:+	1	0.462467	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	4	1.849867	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	1	0.462467	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	4	1.849867	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113765:+	10	4.624667	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	45	20.811000	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113766:+	5	2.312333	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113750-46113766:+	2	0.924933	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539837-16539857:+	3	1.387400	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	16	7.399467	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	9	4.162200	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	6	2.774800	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	169	78.156867	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	445	205.797667	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	288	133.190400	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	1080	499.464001	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	46	21.273467	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539857:+	1	0.462467	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539859:+	1	0.462467	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	6	2.774800	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539861:+	1	0.462467	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	1	0.462467	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539883-16539902:+	1	0.462467	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	11	5.087133	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	33	15.261400	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539906:+	1	0.462467	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178841-94178859:+	4	1.849867	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178860:+	4	1.849867	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	53	24.510733	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	97	44.859267	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	310	143.364667	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	14	6.474533	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178865:+	1	0.462467	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178861:+	2	0.924933	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178862:+	15	6.937000	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	28	12.949067	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178864:+	4	1.849867	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178843-94178862:+	3	1.387400	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178843-94178863:+	6	2.774800	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178844-94178863:+	1	0.462467	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178911:+	1	0.462467	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178913:+	1	0.462467	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178915:+	33	15.261400	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	146	67.520133	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	339	156.776200	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178918:+	1	0.462467	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178915:+	4	1.849867	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178916:+	7	3.237267	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	23	10.636733	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178898-94178916:+	1	0.462467	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178898-94178917:+	1	0.462467	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692793-51692811:+	8	3.699733	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692812:+	5	2.312333	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692813:+	79	36.534867	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692814:+	288	133.190400	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692815:+	747	345.462601	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692816:+	15	6.937000	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692817:+	1	0.462467	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692813:+	1	0.462467	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692814:+	2	0.924933	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692815:+	11	5.087133	N	mature,MIMAT0000066
