miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	1.119679	N	precursor
hsa-let-7a-1	hg38:chr9:94175960-94175984:+	2	2.239358	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	4	4.478717	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	29	32.470695	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	564	631.499038	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	842	942.769840	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	3350	3750.925135	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	78	87.334973	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	2	2.239358	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	1.119679	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	6	6.718075	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	41	45.906845	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	1	1.119679	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	9	10.077112	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	2	2.239358	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	1	1.119679	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176008-94176030:+	1	1.119679	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	3	3.359037	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	14	15.675508	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	20	22.393583	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	1.119679	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	2	2.239358	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146544:-	2	2.239358	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	38	42.547808	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	13	14.555829	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	2	2.239358	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146527-122146545:-	1	1.119679	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146528-122146545:-	2	2.239358	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	90	100.771123	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	5	5.598396	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	9	10.077112	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	32	35.829733	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	3571	3998.374226	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	2	2.239358	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	3	3.359037	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	1	1.119679	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	7	7.837754	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	803	899.102353	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	3	3.359037	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	587	657.251658	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	32	35.829733	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	5	5.598396	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	3	3.359037	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	5	5.598396	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	2	2.239358	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	3	3.359037	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	12	13.436150	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	9	10.077112	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	34	38.069091	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	590	660.610695	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	793	887.905562	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	3443	3855.055295	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	73	81.736578	N	mature,MIMAT0000062
