miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175944-94175962:+	1	0.329751	N	precursor
hsa-let-7a-1	hg38:chr9:94175960-94175983:+	1	0.329751	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175984:+	1	0.329751	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	6	1.978509	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	12	3.957018	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	25	8.243787	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	250	82.437866	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	5720	1886.178369	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	13321	4392.619239	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	38664	12749.510566	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1662	548.046932	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	55	18.136330	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	4	1.319006	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	9	2.967763	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	44	14.509064	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	4	1.319006	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	2	0.659503	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	2	0.659503	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	5	1.648757	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	19	6.265278	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.329751	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	9	2.967763	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	1	0.329751	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175988:+	1	0.329751	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	1	0.329751	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176030:+	1	0.329751	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.329751	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	3	0.989254	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	16	5.276023	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	5	1.648757	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.329751	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.329751	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176016-94176036:+	1	0.329751	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	32	10.552047	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	6	1.978509	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	5	1.648757	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146546:-	3	0.989254	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	32	10.552047	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	3	0.989254	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	2	0.659503	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	1713	564.864256	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	7	2.308260	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	16	5.276023	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	53	17.476828	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	38161	12583.645580	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	4	1.319006	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	1	0.329751	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	4	1.319006	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	7	2.308260	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	13130	4329.636710	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	4	1.319006	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	4	1.319006	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	5681	1873.318061	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	3	0.989254	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	229	75.513085	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	1	0.329751	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	5	1.648757	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	9	2.967763	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	63	20.774342	N	mature,MIMAT0000062
