miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	2	0.489293	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	7	1.712524	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	22	5.382218	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	40	9.785851	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	229	56.023999	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	5022	1228.613634	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	16392	4010.241872	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	40743	9967.623511	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1050	256.878597	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	23	5.626865	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	3	0.733939	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	11	2.691109	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	39	9.541205	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.244646	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	3	0.733939	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	13	3.180402	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	1	0.244646	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	7	1.712524	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	1	0.244646	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176008-94176029:+	1	0.244646	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	4	0.978585	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	7	1.712524	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	9	2.201817	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176033:+	1	0.244646	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.244646	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	15	3.669694	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	10	2.446463	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	3	0.733939	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	8	1.957170	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	4	0.978585	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	1082	264.707278	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	1	0.244646	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	5	1.223231	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	21	5.137572	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	47	11.498375	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	40061	9800.774746	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	10	2.446463	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	1	0.244646	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	5	1.223231	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	8	1.957170	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	16355	4001.189960	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	5	1.223231	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146592:-	1	0.244646	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	1	0.244646	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	5	1.223231	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	5104	1248.674629	N	mature,MIMAT0000062
