miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.131680	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	7	0.921762	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	19	2.501925	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	38	5.003850	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	372	48.985055	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	14810	1950.184570	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	37075	4882.045437	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	77289	10177.435193	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1144	150.642211	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	10	1.316803	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175981:+	1	0.131680	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	3	0.395041	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	1	0.131680	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	18	2.370245	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	2	0.263361	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	2	0.263361	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	2	0.263361	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	8	1.053442	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	1	0.131680	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176005:+	1	0.131680	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.131680	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	2	0.263361	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	7	0.921762	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	29	3.818727	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	33	4.345448	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.131680	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.131680	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.131680	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	4	0.526721	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.131680	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176016-94176036:+	1	0.131680	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	36	4.740489	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	12	1.580163	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146546:-	1	0.131680	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146546:-	2	0.263361	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146548-122146568:-	1	0.131680	N	stemloop
hsa-let-7a-2	hg38:chr11:122146562-122146585:-	1	0.131680	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146563-122146585:-	1	0.131680	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	14	1.843524	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	1165	153.407497	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	1	0.131680	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	6	0.790082	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	12	1.580163	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	77000	10139.379599	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	7	0.921762	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	3	0.395041	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146588:-	1	0.131680	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	1	0.131680	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	37208	4899.558911	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	15	1.975204	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	1	0.131680	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	14752	1942.547115	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	11	1.448483	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	407	53.593864	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146591:-	1	0.131680	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	3	0.395041	Y	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	11	1.448483	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	5	0.658401	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	284	37.397192	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	481	63.338202	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	177	23.307405	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	2	0.263361	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	386	50.828578	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	14787	1947.155924	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	37362	4919.837670	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	76610	10088.024300	N	mature,MIMAT0000062
