miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175960-94175983:+	1	0.589356	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175984:+	1	0.589356	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	2	1.178712	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	1	0.589356	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	4	2.357423	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	95	55.988798	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	2215	1305.423016	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	1644	968.900875	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	3333	1964.322760	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	130	76.616249	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	7	4.125490	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175987:+	1	0.589356	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	7	4.125490	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	3	1.768067	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	17	10.019048	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	2	1.178712	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	2	1.178712	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	3	1.768067	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	3	1.768067	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	1	0.589356	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	4	2.357423	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	5	2.946779	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	4	2.357423	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	8	4.714846	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	3	1.768067	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	5	2.946779	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146583:-	1	0.589356	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	1	0.589356	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	130	76.616249	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	3	1.768067	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	14	8.250981	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	3291	1939.569817	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	2	1.178712	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	5	2.946779	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	1698	1000.726086	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	1	0.589356	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	1	0.589356	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	8	4.714846	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	2185	1287.742343	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	75	44.201682	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	1	0.589356	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	12	7.072269	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	12	7.072269	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	24	14.144538	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.589356	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	103	60.703644	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	2266	1335.480160	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	1704	1004.262221	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	3366	1983.771500	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	134	78.973672	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	3	1.768067	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112778:+	1	0.589356	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	4	2.357423	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	5	2.946779	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	13	7.661625	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112772:+	2	1.178712	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	6	3.536135	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	1	0.589356	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	2	1.178712	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	2	1.178712	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	10	5.893558	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	4	2.357423	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	3	1.768067	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	10	5.893558	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	5	2.946779	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	397	233.974238	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	9469	5580.609724	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	3545	2089.266181	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	7773	4581.062349	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	2233	1316.031420	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	1	0.589356	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113710:+	1	0.589356	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	9	5.304202	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	11	6.482913	N	mature,MIMAT0000063
