miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	5	0.968408	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	3	0.581045	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	2	0.387363	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	356	68.950624	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	9667	1872.319327	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	11554	2237.796369	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	11215	2172.138331	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	167	32.344815	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	5	0.968408	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	3	0.581045	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	10	1.936815	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	27	5.229401	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175982:+	2	0.387363	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	3	0.581045	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	3	0.581045	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	7	1.355771	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	20	3.873631	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	1	0.193682	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	2	0.387363	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	6	1.162089	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	2	0.387363	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.193682	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	21	4.067312	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	18	3.486267	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	4	0.774726	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.193682	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176033:+	1	0.193682	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.193682	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.193682	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	10	1.936815	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	3	0.581045	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	7	1.355771	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	1	0.193682	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	162	31.376407	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	12	2.324178	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	16	3.098904	N	mature,MIMAT0000062
