miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.982406	N	precursor
hsa-let-7a-1	hg38:chr9:94175960-94175984:+	1	0.982406	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	4	3.929624	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	43	42.243462	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	1196	1174.957683	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	909	893.007135	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	3146	3090.649557	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	94	92.346172	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	2	1.964812	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	4	3.929624	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	3	2.947218	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	8	7.859249	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	1	0.982406	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	6	5.894437	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	13	12.771279	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.982406	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	4	3.929624	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	11	10.806467	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	1	0.982406	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	1	0.982406	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	4	3.929624	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	3	2.947218	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	1	0.982406	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	1	0.982406	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	1	0.982406	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.982406	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	3	2.947218	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	85	83.504518	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	1	0.982406	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	7	6.876843	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	14	13.753685	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	11	10.806467	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	3086	3031.705192	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	2	1.964812	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	8	7.859249	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	4	3.929624	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	935	918.549694	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146586:-	1	0.982406	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	1	0.982406	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	2	1.964812	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	1144	1123.872566	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	1	0.982406	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	41	40.278650	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112769:+	1	0.982406	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	1	0.982406	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	2	1.964812	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	3	2.947218	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	4	3.929624	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	59	57.961959	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	1085	1065.910607	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	929	912.655257	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	3194	3137.805049	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	113	111.011888	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112782:+	1	0.982406	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	1	0.982406	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	3	2.947218	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	8	7.859249	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112772:+	1	0.982406	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	8	7.859249	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	22	21.612934	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	1	0.982406	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	3	2.947218	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	9	8.841655	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112775:+	1	0.982406	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	1	0.982406	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112777:+	1	0.982406	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	2	1.964812	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	3	2.947218	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	2	1.964812	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	10	9.824061	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	27	26.524964	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	300	294.721827	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	4831	4746.003818	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	1984	1949.093681	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	7855	7716.799832	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	2039	2003.126016	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	2	1.964812	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	3	2.947218	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	2	1.964812	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	27	26.524964	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	11	10.806467	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	5	4.912030	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	1	0.982406	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	30	29.472183	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	9	8.841655	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113711:+	1	0.982406	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113712:+	1	0.982406	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	8	7.859249	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	12	11.788873	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113711:+	1	0.982406	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113713:+	2	1.964812	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113714:+	1	0.982406	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113697-46113713:+	2	1.964812	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	9	8.841655	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113765:+	7	6.876843	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	35	34.384213	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539837-16539858:+	2	1.964812	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	8	7.859249	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	6	5.894437	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	82	80.557299	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	167	164.061817	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	197	193.534000	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	1021	1003.036617	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	63	61.891584	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	1	0.982406	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	4	3.929624	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	2	1.964812	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539860:+	1	0.982406	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539845-16539861:+	1	0.982406	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539883-16539904:+	6	5.894437	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	11	10.806467	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178841-94178858:+	3	2.947218	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178860:+	1	0.982406	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	15	14.736091	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	33	32.419401	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	75	73.680457	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	8	7.859249	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178862:+	6	5.894437	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	10	9.824061	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178864:+	1	0.982406	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178845-94178863:+	1	0.982406	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178912:+	2	1.964812	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178915:+	30	29.472183	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	103	101.187827	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	114	111.994294	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178918:+	3	2.947218	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692793-51692810:+	1	0.982406	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692811:+	3	2.947218	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692812:+	3	2.947218	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692813:+	57	55.997147	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692814:+	157	154.237756	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692815:+	706	693.578699	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692816:+	46	45.190680	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692817:+	2	1.964812	N	mature,MIMAT0000066
