miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	1	0.251811	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	1	0.251811	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	7	1.762675	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	14	3.525350	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	165	41.548767	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	3573	899.719659	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	5261	1324.776134	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	13061	3288.899655	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	230	57.916463	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	7	1.762675	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	4	1.007243	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	4	1.007243	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	42	10.576050	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	2	0.503621	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	1	0.251811	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	19	4.784403	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	33	8.309753	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	5	1.259054	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	16	4.028971	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	1	0.251811	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	1	0.251811	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175968-94175985:+	2	0.503621	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	1	0.251811	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	40	10.072428	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	23	5.791646	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.251811	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176033:+	1	0.251811	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.251811	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	13	3.273539	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	6	1.510864	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146587:-	1	0.251811	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	4	1.007243	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146583:-	3	0.755432	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	2	0.503621	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	264	66.478027	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	22	5.539836	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	46	11.583293	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	33	8.309753	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	12918	3252.890724	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	3	0.755432	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	8	2.014486	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	17	4.280782	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	9	2.266296	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	5115	1288.011771	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	2	0.503621	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	1	0.251811	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	4	1.007243	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	3543	892.165338	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	1	0.251811	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	176	44.318685	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	1	0.251811	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146592:-	1	0.251811	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	3	0.755432	N	precursor
hsa-let-7a-3	hg38:chr22:46112750-46112774:+	1	0.251811	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	6	1.510864	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	7	1.762675	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	59	14.856832	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	118	29.713664	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	37	9.316996	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	174	43.815063	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	3524	887.380934	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	5075	1277.939342	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	12919	3253.142535	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	219	55.146545	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112771:+	1	0.251811	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	2	0.503621	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	8	2.014486	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	28	7.050700	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	1	0.251811	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	1	0.251811	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112772:+	2	0.503621	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	16	4.028971	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	36	9.065185	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	3	0.755432	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	1	0.251811	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	16	4.028971	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112775:+	1	0.251811	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	2	0.503621	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112758-46112775:+	1	0.251811	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112759-46112775:+	3	0.755432	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	4	1.007243	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	38	9.568807	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	23	5.791646	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	2	0.503621	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	1	0.251811	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112823:+	1	0.251811	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113671-46113691:+	1	0.251811	N	precursor
hsa-let-7b	hg38:chr22:46113672-46113691:+	1	0.251811	N	precursor
hsa-let-7b	hg38:chr22:46113691-46113708:+	16	4.028971	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	85	21.403910	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	652	164.180582	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	10623	2674.985149	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	3669	923.893487	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	12041	3032.052733	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	2337	588.481624	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113710:+	1	0.251811	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	7	1.762675	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	14	3.525350	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	44	11.079671	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	11	2.769918	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	1	0.251811	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	4	1.007243	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	19	4.784403	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	10	2.518107	N	mature,MIMAT0000063
