miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175960-94175982:+	1	0.574721	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	1	0.574721	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	2	1.149442	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	86	49.425997	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	2421	1391.399302	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	1977	1136.223222	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	3421	1966.120203	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	144	82.759810	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	4	2.298884	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	2	1.149442	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	4	2.298884	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	22	12.643860	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	3	1.724163	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.574721	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	1	0.574721	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	4	2.298884	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	11	6.321930	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.574721	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	6	3.448325	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	1	0.574721	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.574721	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	5	2.873605	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	11	6.321930	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	4	2.298884	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176033:+	1	0.574721	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	3	1.724163	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	1	0.574721	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	158	90.805902	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	7	4.023046	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	7	4.023046	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	13	7.471372	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	3520	2023.017572	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	1	0.574721	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	4	2.298884	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	7	4.023046	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	1957	1124.728804	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	2	1.149442	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	2434	1398.870673	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	1	0.574721	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	98	56.322648	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	1	0.574721	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	2	1.149442	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	9	5.172488	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	11	6.321930	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	6	3.448325	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.574721	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	79	45.402951	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	2520	1448.296671	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	1945	1117.832153	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	3413	1961.522436	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	145	83.334531	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	3	1.724163	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	3	1.724163	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	21	12.069139	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	1	0.574721	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112772:+	1	0.574721	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	3	1.724163	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	11	6.321930	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	1	0.574721	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	1	0.574721	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	3	1.724163	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112775:+	1	0.574721	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	1	0.574721	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	3	1.724163	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	8	4.597767	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	1	0.574721	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	1	0.574721	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	1	0.574721	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	9	5.172488	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	43	24.712999	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	296	170.117387	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	6177	3550.051006	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	1955	1123.579362	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	5133	2950.042386	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	1662	955.186138	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	2	1.149442	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	5	2.873605	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	8	4.597767	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	47	27.011882	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	15	8.620814	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	1	0.574721	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	1	0.574721	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	6	3.448325	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	6	3.448325	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113712:+	3	1.724163	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	8	4.597767	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	9	5.172488	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113697-46113714:+	2	1.149442	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	9	5.172488	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113765:+	7	4.023046	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	32	18.391069	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539837-16539857:+	1	0.574721	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	6	3.448325	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	1	0.574721	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	1	0.574721	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	109	62.644578	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	337	193.680944	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	168	96.553111	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	674	387.361887	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	64	36.782138	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539857:+	1	0.574721	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	3	1.724163	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539861:+	2	1.149442	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539883-16539904:+	3	1.724163	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	7	4.023046	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539906:+	1	0.574721	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178823-94178841:+	1	0.574721	N	precursor
hsa-let-7d	hg38:chr9:94178840-94178863:+	2	1.149442	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178858:+	1	0.574721	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178859:+	5	2.873605	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178860:+	7	4.023046	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	50	28.736045	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	159	91.380623	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	325	186.784293	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	28	16.092185	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178865:+	1	0.574721	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178861:+	3	1.724163	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178862:+	10	5.747209	N	mature,MIMAT0000065
