miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.240421	N	precursor
hsa-let-7a-1	hg38:chr9:94175960-94175982:+	1	0.240421	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175984:+	1	0.240421	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	3	0.721263	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	10	2.404209	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	18	4.327576	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	157	37.746083	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	2934	705.394949	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	9766	2347.950604	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	30364	7300.140502	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1173	282.013727	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	35	8.414732	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175981:+	2	0.480842	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	3	0.721263	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	13	3.125472	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	42	10.097678	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.240421	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	2	0.480842	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	16	3.846735	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	2	0.480842	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	1	0.240421	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	12	2.885051	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	1	0.240421	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175988:+	1	0.240421	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	1	0.240421	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	1	0.240421	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	8	1.923367	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	25	6.010523	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	2	0.480842	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.240421	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	3	0.721263	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	21	5.048839	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	1	0.240421	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.240421	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	8	1.923367	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.240421	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	2	0.480842	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	1152	276.964888	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	1	0.240421	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	6	1.442525	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	10	2.404209	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	40	9.616836	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	30306	7286.196089	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	3	0.721263	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	5	1.202105	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	5	1.202105	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	9744	2342.661344	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	2	0.480842	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	1	0.240421	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	2	0.480842	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	2971	714.290523	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146589:-	1	0.240421	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	145	34.861032	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	1	0.240421	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112769:+	1	0.240421	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	7	1.682946	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	4	0.961684	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	53	12.742308	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	177	42.554501	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	95	22.839986	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	2	0.480842	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	164	39.429029	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	2912	700.105689	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	9694	2330.640299	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	30295	7283.551459	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	1204	289.466775	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	1	0.240421	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112778:+	1	0.240421	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	2	0.480842	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	4	0.961684	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	40	9.616836	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	1	0.240421	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	6	1.442525	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	6	1.442525	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	1	0.240421	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	1	0.240421	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	11	2.644630	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112775:+	2	0.480842	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112818:+	1	0.240421	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	2	0.480842	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	23	5.529681	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	2	0.480842	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	2	0.480842	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112823:+	1	0.240421	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	10	2.404209	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	44	10.578520	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	393	94.485418	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	7847	1886.582878	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	3900	937.641548	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	13641	3279.581629	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	4320	1038.618330	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	4	0.961684	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	11	2.644630	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	4	0.961684	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	30	7.212627	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	13	3.125472	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113693-46113714:+	1	0.240421	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	1	0.240421	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	1	0.240421	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	10	2.404209	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	7	1.682946	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	9	2.163788	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	6	1.442525	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113697-46113714:+	1	0.240421	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	3	0.721263	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113719-46113745:+	1	0.240421	N	stemloop
hsa-let-7b	hg38:chr22:46113739-46113762:+	1	0.240421	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	2	0.480842	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	51	12.261466	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113767:+	4	0.961684	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113768:+	2	0.480842	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539857:+	1	0.240421	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539858:+	1	0.240421	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	2	0.480842	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	3	0.721263	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	14	3.365893	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	36	8.655153	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	48	11.540204	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	247	59.383965	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	743	178.632736	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	1071	257.490794	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	6411	1541.338452	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	410	98.572573	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	5	1.202105	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539859:+	3	0.721263	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	7	1.682946	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539861:+	1	0.240421	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539861:+	1	0.240421	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539877-16539899:+	1	0.240421	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539902:+	1	0.240421	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	4	0.961684	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	41	9.857257	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539906:+	1	0.240421	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178840-94178863:+	1	0.240421	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178858:+	1	0.240421	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178859:+	4	0.961684	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178860:+	3	0.721263	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	29	6.972206	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	140	33.658927	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	589	141.607916	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	59	14.184834	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178865:+	2	0.480842	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178862:+	7	1.682946	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	28	6.731785	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178864:+	3	0.721263	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178843-94178863:+	1	0.240421	N	mature,MIMAT0000065
