miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.386273	N	precursor
hsa-let-7a-1	hg38:chr9:94175960-94175982:+	1	0.386273	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175983:+	1	0.386273	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175984:+	3	1.158818	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	6	2.317636	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	8	3.090181	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	160	61.803623	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	4571	1765.652250	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	3247	1254.227271	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	6676	2578.756163	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	201	77.640801	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	3	1.158818	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	12	4.635272	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	13	5.021544	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	70	27.039085	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	3	1.158818	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.386273	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	2	0.772545	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	3	1.158818	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	12	4.635272	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	1	0.386273	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	5	1.931363	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	1	0.386273	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	2	0.772545	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	2	0.772545	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	8	3.090181	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	36	13.905815	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	21	8.111725	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.386273	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	3	1.158818	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	5	1.931363	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176016-94176036:+	2	0.772545	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	11	4.248999	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	6	2.317636	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146546:-	1	0.386273	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	3	1.158818	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146546:-	1	0.386273	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	4	1.545091	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.386273	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	2	0.772545	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	217	83.821163	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	1	0.386273	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	6	2.317636	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	14	5.407817	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	68	26.266540	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	6803	2627.812789	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	1	0.386273	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	3	1.158818	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146588:-	1	0.386273	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	17	6.566635	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	3221	1244.184183	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	13	5.021544	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	4643	1793.463881	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146589:-	1	0.386273	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	143	55.236988	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	1	0.386273	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	1	0.386273	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112768:+	1	0.386273	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112769:+	1	0.386273	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	3	1.158818	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	2	0.772545	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	50	19.313632	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	46	17.768542	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	25	9.656816	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.386273	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	161	62.189895	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	4666	1802.348151	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	3193	1233.368549	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	6748	2606.567794	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	184	71.074166	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	12	4.635272	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	15	5.794090	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	59	22.790086	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	3	1.158818	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	5	1.931363	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	7	2.703908	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	1	0.386273	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	1	0.386273	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	5	1.931363	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	7	2.703908	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	21	8.111725	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	9	3.476454	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	1	0.386273	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	1	0.386273	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112824:+	1	0.386273	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112803-46112825:+	1	0.386273	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112804-46112824:+	1	0.386273	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113690-46113714:+	1	0.386273	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	5	1.931363	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	37	14.292088	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	698	269.618305	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	18388	7102.781356	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	3552	1372.040427	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	8351	3225.762840	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	1894	731.600386	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113709:+	1	0.386273	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	35	13.519542	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	17	6.566635	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	109	42.103718	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	27	10.429361	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	1	0.386273	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	1	0.386273	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	7	2.703908	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	5	1.931363	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	4	1.545091	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	4	1.545091	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113714:+	1	0.386273	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113697-46113713:+	1	0.386273	N	mature,MIMAT0000063
