miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175960-94175982:+	2	1.051361	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175983:+	1	0.525681	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175984:+	3	1.577042	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	1	0.525681	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	5	2.628403	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	4	2.102722	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	2	1.051361	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	164	86.211610	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	4825	2536.408635	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	4187	2201.024446	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	5509	2895.974128	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	126	66.235749	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	6	3.154083	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	9	4.731125	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	14	7.359528	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	34	17.873139	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	2	1.051361	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	7	3.679764	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	11	5.782486	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.525681	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	2	1.051361	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	4	2.102722	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	1	0.525681	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	2	1.051361	N	mature,MIMAT0000062
