miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.203153	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.203153	N	precursor
hsa-let-7a-1	hg38:chr9:94175960-94175984:+	1	0.203153	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175978:+	1	0.203153	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	2	0.406306	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	6	1.218918	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	18	3.656754	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	252	51.194550	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	4308	875.183015	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	7717	1567.731507	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	21836	4436.048358	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	717	145.660683	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	11	2.234683	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.203153	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	20	4.063059	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	54	10.970261	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	4	0.812612	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	1	0.203153	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	38	7.719813	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	94	19.096380	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	4	0.812612	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175986:+	2	0.406306	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	7	1.422071	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	34	6.907201	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	3	0.609459	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	1	0.203153	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175985:+	1	0.203153	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	6	1.218918	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	1	0.203153	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	3	0.609459	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	15	3.047295	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	31	6.297742	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.203153	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	14	2.844142	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	6	1.218918	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	5	1.015765	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146583:-	6	1.218918	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	2	0.406306	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	11	2.234683	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	2	0.406306	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	726	147.489060	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	43	8.735578	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	101	20.518450	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	52	10.563955	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	22081	4485.820837	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	3	0.609459	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	12	2.437836	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	39	7.922966	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	13	2.640989	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	7687	1561.636917	N	mature,MIMAT0000062
