miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.279393	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	18	5.029072	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	27	7.543608	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	2	0.558786	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	93	25.983540	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	2120	592.312951	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	9990	2791.135087	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	30566	8539.923430	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	858	239.719110	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	24	6.705430	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.279393	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	4	1.117572	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	25	6.984823	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.279393	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.279393	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	6	1.676357	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	11	3.073322	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	2	0.558786	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	1	0.279393	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	2	0.558786	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	3	0.838179	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175988:+	1	0.279393	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.279393	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	3	0.838179	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	6	1.676357	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	10	2.793929	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.279393	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	16	4.470286	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	5	1.396965	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	2	0.558786	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	10	2.793929	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146583:-	1	0.279393	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.279393	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	2	0.558786	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	865	241.674860	N	mature,MIMAT0000062
