miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175960-94175984:+	1	0.976122	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	3	2.928366	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	26	25.379175	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	962	939.029461	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	481	469.514731	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	1669	1629.147787	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	72	70.280791	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	4	3.904488	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	2	1.952244	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	2	1.952244	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	9	8.785099	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175986:+	1	0.976122	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	1	0.976122	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.976122	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	2	1.952244	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	1	0.976122	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	5	4.880611	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.976122	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	2	1.952244	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	1	0.976122	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	3	2.928366	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	1	0.976122	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	82	80.042012	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	1	0.976122	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	4	3.904488	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	1662	1622.314932	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	500	488.061051	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	1017	992.716177	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	1	0.976122	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	32	31.235907	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	7	6.832855	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	14	13.665709	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	12	11.713465	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.976122	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	31	30.259785	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	948	925.363752	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	483	471.466975	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	1744	1702.356944	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	64	62.471814	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	3	2.928366	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	2	1.952244	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	4	3.904488	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	1	0.976122	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	5	4.880611	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	3	2.928366	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	4	3.904488	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113672-46113691:+	1	0.976122	N	precursor
hsa-let-7b	hg38:chr22:46113691-46113708:+	5	4.880611	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	4	3.904488	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	203	198.152787	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	3897	3803.947828	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	970	946.838438	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	3223	3146.041532	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	1083	1057.140236	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	1	0.976122	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	8	7.808977	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	4	3.904488	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	7	6.832855	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	2	1.952244	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	1	0.976122	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	1	0.976122	N	mature,MIMAT0000063
