miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.316815	N	precursor
hsa-let-7a-1	hg38:chr9:94175960-94175984:+	1	0.316815	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	2	0.633630	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	21	6.653113	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	30	9.504448	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	2	0.633630	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	195	61.778909	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	4053	1284.050872	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	12374	3920.267823	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	35779	11335.321030	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1392	441.006369	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	41	12.989412	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.316815	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	9	2.851334	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	28	8.870818	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.316815	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175986:+	1	0.316815	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	1	0.316815	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	2	0.633630	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	9	2.851334	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	3	0.950445	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	2	0.633630	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175985:+	1	0.316815	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	1	0.316815	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.316815	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	4	1.267260	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	12	3.801779	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	16	5.069039	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.316815	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.316815	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.316815	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	1	0.316815	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	21	6.653113	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	7	2.217704	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146528-122146545:-	1	0.316815	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146546-122146568:-	1	0.316815	N	stemloop
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	11	3.484964	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146583:-	1	0.316815	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	1	0.316815	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	1425	451.461261	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	6	1.900890	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	12	3.801779	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	1	0.316815	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	31	9.821263	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	35738	11322.331618	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	1	0.316815	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	1	0.316815	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	12	3.801779	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	12432	3938.643088	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	1	0.316815	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146586:-	1	0.316815	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	4	1.267260	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	4079	1292.288060	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	1	0.316815	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	227	71.916987	N	mature,MIMAT0000062
