miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	3	0.625192	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	13	2.709166	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	29	6.043524	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	125	26.049672	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	3421	712.927410	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	13062	2722.086474	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	35535	7405.400618	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	950	197.977504	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	14	2.917563	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	3	0.625192	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	16	3.334358	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	44	9.169484	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.208397	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175982:+	2	0.416795	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	1	0.208397	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	28	5.835126	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.208397	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	2	0.416795	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	6	1.250384	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.208397	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	1	0.208397	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	9	1.875576	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	19	3.959550	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	10	2.083974	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	5	1.041987	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146544:-	1	0.208397	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.208397	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	17	3.542755	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.208397	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	970	202.145451	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	8	1.667179	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	15	3.125961	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	44	9.169484	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	35543	7407.067797	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	3	0.625192	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	1	0.208397	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	2	0.416795	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	18	3.751153	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	12831	2673.946682	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	9	1.875576	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	2	0.416795	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	3349	697.922799	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	1	0.208397	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	125	26.049672	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	2	0.416795	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	3	0.625192	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	37	7.710703	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	130	27.091658	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	82	17.088585	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.208397	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	147	30.634414	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	3383	705.008310	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	13024	2714.167374	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	35933	7488.342772	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	1041	216.941664	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	1	0.208397	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	4	0.833589	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	7	1.458782	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	55	11.461855	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	4	0.833589	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	5	1.041987	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	17	3.542755	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	1	0.208397	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112772:+	1	0.208397	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	1	0.208397	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	13	2.709166	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112775:+	1	0.208397	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	1	0.208397	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	1	0.208397	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	8	1.667179	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	17	3.542755	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112823:+	1	0.208397	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113672-46113691:+	1	0.208397	N	precursor
hsa-let-7b	hg38:chr22:46113690-46113713:+	1	0.208397	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	6	1.250384	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	37	7.710703	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	622	129.623165	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	15302	3188.896588	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	6283	1309.360689	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	21749	4532.434446	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	5853	1219.749819	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	4	0.833589	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	6	1.250384	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	17	3.542755	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	46	9.586279	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	37	7.710703	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113693-46113713:+	1	0.208397	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	1	0.208397	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	18	3.751153	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	10	2.083974	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113712:+	1	0.208397	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	8	1.667179	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	8	1.667179	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113713:+	1	0.208397	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113714:+	3	0.625192	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113697-46113714:+	1	0.208397	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	6	1.250384	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113764:+	1	0.208397	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	12	2.500768	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	104	21.673327	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113767:+	2	0.416795	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113766:+	1	0.208397	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539857:+	1	0.208397	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539858:+	2	0.416795	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	4	0.833589	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	31	6.460319	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	52	10.836663	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	56	11.670253	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	2	0.416795	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	283	58.976456	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	1011	210.689743	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	1392	290.089142	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	7711	1606.952136	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	527	109.825415	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	4	0.833589	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539859:+	7	1.458782	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	17	3.542755	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539861:+	4	0.833589	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	3	0.625192	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539859:+	1	0.208397	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539860:+	1	0.208397	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539843-16539860:+	1	0.208397	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539843-16539865:+	1	0.208397	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539883-16539904:+	16	3.334358	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	101	21.048135	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539906:+	4	0.833589	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539884-16539906:+	1	0.208397	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178841-94178858:+	1	0.208397	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178860:+	3	0.625192	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	69	14.379419	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	303	63.144404	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	1051	219.025638	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	74	15.421406	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178865:+	5	1.041987	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178862:+	6	1.250384	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	18	3.751153	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178864:+	2	0.416795	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178843-94178862:+	1	0.208397	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178843-94178863:+	10	2.083974	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178844-94178863:+	1	0.208397	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178845-94178863:+	1	0.208397	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178914:+	3	0.625192	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178915:+	15	3.125961	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	167	34.802361	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	718	149.629313	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178916:+	3	0.625192	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	24	5.001537	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178898-94178917:+	1	0.208397	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692772-51692793:+	1	0.208397	N	precursor
hsa-let-7e	hg38:chr19:51692774-51692793:+	1	0.208397	N	precursor
hsa-let-7e	hg38:chr19:51692793-51692810:+	1	0.208397	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692811:+	18	3.751153	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692812:+	9	1.875576	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692813:+	324	67.520749	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692814:+	1858	387.202317	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692815:+	7460	1554.644396	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692816:+	221	46.055819	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692817:+	18	3.751153	N	mature,MIMAT0000066
