miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175938-94175962:+	1	0.404115	N	precursor
hsa-let-7a-1	hg38:chr9:94175960-94175982:+	1	0.404115	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175983:+	1	0.404115	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175984:+	1	0.404115	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	5	2.020573	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	7	2.828803	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	11	4.445262	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.404115	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	216	87.288774	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	4694	1896.914382	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	6911	2792.836663	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	11469	4634.791447	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	245	99.008100	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	5	2.020573	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	7	2.828803	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	15	6.061720	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	56	22.630423	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.404115	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	2	0.808229	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	9	3.637032	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	36	14.548129	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	3	1.212344	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	4	1.616459	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	2	0.808229	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175986:+	1	0.404115	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	2	0.808229	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.404115	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.404115	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	8	3.232918	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	1	0.404115	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.404115	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	8	3.232918	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	1	0.404115	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	3	1.212344	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146527-122146545:-	1	0.404115	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146583:-	1	0.404115	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	2	0.808229	N	mature,MIMAT0000062
