miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	1	0.279147	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	3	0.837441	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	17	4.745499	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	23	6.420381	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	25	6.978675	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.279147	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	466	130.082499	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	12816	3577.547872	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	23658	6604.059579	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	36570	10208.405563	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1066	297.570695	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	26	7.257822	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	8	2.233176	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	11	3.070617	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	45	12.561615	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.279147	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175986:+	1	0.279147	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175985:+	2	0.558294	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	3	0.837441	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	5	1.395735	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	10	2.791470	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.279147	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	1	0.279147	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	3	0.837441	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175989:+	1	0.279147	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	1	0.279147	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.279147	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	5	1.395735	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	7	1.954029	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	6	1.674882	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.279147	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	1	0.279147	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	10	2.791470	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	7	1.954029	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	5	1.395735	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146546:-	1	0.279147	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146565-122146586:-	1	0.279147	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	9	2.512323	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	2	0.558294	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	1127	314.598662	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	4	1.116588	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	10	2.791470	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	1	0.279147	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	44	12.282468	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	36719	10249.998465	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	2	0.558294	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	8	2.233176	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	25	6.978675	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	23361	6521.152922	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	1	0.279147	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146586:-	1	0.279147	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	5	1.395735	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	12804	3574.198108	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	5	1.395735	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	440	122.824677	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146591:-	1	0.279147	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	3	0.837441	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146592:-	1	0.279147	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	2	0.558294	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	5	1.395735	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	5	1.395735	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	90	25.123229	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	116	32.381051	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	46	12.840762	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.279147	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	463	129.245058	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	12883	3596.250721	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	23475	6552.975679	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	36701	10244.973819	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	1116	311.528045	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	2	0.558294	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	10	2.791470	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	22	6.141234	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	48	13.399056	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	3	0.837441	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112772:+	2	0.558294	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	4	1.116588	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	16	4.466352	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	1	0.279147	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	1	0.279147	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	3	0.837441	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112776:+	1	0.279147	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112777:+	1	0.279147	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112759-46112775:+	2	0.558294	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112795-46112818:+	1	0.279147	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	4	1.116588	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	5	1.395735	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	3	0.837441	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113670-46113691:+	1	0.279147	N	precursor
hsa-let-7b	hg38:chr22:46113672-46113691:+	1	0.279147	N	precursor
hsa-let-7b	hg38:chr22:46113690-46113711:+	1	0.279147	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	30	8.374410	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	144	40.197167	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	3340	932.350959	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	57140	15950.459225	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	7292	2035.539879	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	13258	3700.930844	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	3763	1050.430138	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	2	0.558294	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113709:+	1	0.279147	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113710:+	1	0.279147	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	20	5.582940	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	13	3.628911	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	38	10.607586	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	18	5.024646	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113693-46113713:+	1	0.279147	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	7	1.954029	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	3	0.837441	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	10	2.791470	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	13	3.628911	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113712:+	1	0.279147	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	6	1.674882	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	6	1.674882	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113711:+	2	0.558294	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113717:+	1	0.279147	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113718:+	1	0.279147	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	4	1.116588	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113762:+	1	0.279147	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113764:+	2	0.558294	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	45	12.561615	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	114	31.822757	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113767:+	2	0.558294	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539856:+	1	0.279147	Y	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539857:+	1	0.279147	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539858:+	1	0.279147	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539856:+	3	0.837441	Y	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	47	13.119909	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	147	41.034608	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	38	10.607586	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	31	8.653557	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	2306	643.712968	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	8284	2312.453696	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	2048	571.693043	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	5371	1499.298504	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	305	85.139833	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	3	0.837441	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539857:+	3	0.837441	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539858:+	6	1.674882	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539859:+	3	0.837441	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	18	5.024646	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539861:+	1	0.279147	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539858:+	2	0.558294	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539859:+	1	0.279147	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	2	0.558294	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539843-16539864:+	1	0.279147	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539883-16539903:+	2	0.558294	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	15	4.187205	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	12	3.349764	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178840-94178861:+	1	0.279147	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178840-94178862:+	1	0.279147	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178840-94178863:+	2	0.558294	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178859:+	2	0.558294	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178860:+	7	1.954029	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	215	60.016604	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	345	96.305713	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	724	202.102423	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	61	17.027967	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178862:+	4	1.116588	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	9	2.512323	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178864:+	1	0.279147	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178865:+	1	0.279147	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178843-94178861:+	2	0.558294	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178843-94178862:+	5	1.395735	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178843-94178863:+	7	1.954029	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178845-94178862:+	1	0.279147	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178845-94178863:+	2	0.558294	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178848-94178864:+	1	0.279147	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178912:+	1	0.279147	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178913:+	3	0.837441	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178914:+	3	0.837441	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178915:+	49	13.678203	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	336	93.793390	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	624	174.187724	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178918:+	3	0.837441	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178915:+	1	0.279147	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178916:+	2	0.558294	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	16	4.466352	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178898-94178916:+	1	0.279147	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692772-51692793:+	1	0.279147	N	precursor
hsa-let-7e	hg38:chr19:51692773-51692793:+	1	0.279147	N	precursor
hsa-let-7e	hg38:chr19:51692793-51692810:+	2	0.558294	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692811:+	15	4.187205	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692812:+	25	6.978675	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692813:+	702	195.961190	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692814:+	1873	522.842319	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692815:+	3648	1018.328233	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692816:+	116	32.381051	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692817:+	5	1.395735	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692814:+	2	0.558294	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692815:+	4	1.116588	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692816:+	1	0.279147	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692817:+	1	0.279147	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692797-51692815:+	1	0.279147	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692836-51692858:+	2	0.558294	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692836-51692859:+	1	0.279147	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692837-51692860:+	1	0.279147	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692854:+	1	0.279147	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692858:+	4	1.116588	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692859:+	13	3.628911	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692860:+	20	5.582940	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692839-51692860:+	1	0.279147	N	mature,MIMAT0004485
hsa-let-7f-1	hg38:chr9:94176353-94176368:+	1	0.279147	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176369:+	9	2.512323	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176370:+	24	6.699528	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176371:+	171	47.734136	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176372:+	213	59.458310	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176373:+	6655	1857.723244	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176374:+	19698	5498.637484	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176375:+	40487	11301.824337	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176376:+	180	50.246459	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176377:+	9	2.512323	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176354-94176369:+	1	0.279147	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176354-94176373:+	8	2.233176	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176354-94176374:+	33	9.211851	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176354-94176375:+	90	25.123229	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176355-94176375:+	2	0.558294	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176356-94176374:+	2	0.558294	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176356-94176375:+	5	1.395735	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176357-94176374:+	4	1.116588	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176357-94176375:+	5	1.395735	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176357-94176376:+	1	0.279147	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176378:+	1	0.279147	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176379:+	58	16.190526	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176380:+	8	2.233176	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176409-94176426:+	1	0.279147	N	mature,MIMAT0004486
hsa-let-7f-1	hg38:chr9:94176409-94176429:+	1	0.279147	N	mature,MIMAT0004486
hsa-let-7f-1	hg38:chr9:94176409-94176430:+	4	1.116588	N	mature,MIMAT0004486
hsa-let-7f-2	hg38:chrX:53557197-53557218:-	1	0.279147	N	mature,MIMAT0004487
hsa-let-7f-2	hg38:chrX:53557244-53557268:-	4	1.116588	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557245-53557264:-	1	0.279147	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557245-53557267:-	3	0.837441	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557245-53557268:-	1308	365.124268	N	mature,MIMAT0000067
