miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175960-94175984:+	2	1.729661	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	3	2.594491	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	37	31.998727	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	1228	1062.011803	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	864	747.213516	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	2531	2188.885891	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	109	94.266520	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	4	3.459322	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	2	1.729661	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	9	7.783474	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	2	1.729661	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	4	3.459322	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	1	0.864830	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176008-94176030:+	1	0.864830	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	2	1.729661	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	6	5.188983	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	4	3.459322	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.864830	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	4	3.459322	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.864830	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	6	5.188983	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146583:-	1	0.864830	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	1	0.864830	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	102	88.212707	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	2	1.729661	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	4	3.459322	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	13	11.242796	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	2520	2179.372756	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	1	0.864830	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	851	735.970720	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	4	3.459322	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	1240	1072.389769	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	40	34.593218	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	1	0.864830	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	10	8.648305	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	17	14.702118	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	20	17.296609	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	37	31.998727	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	1172	1013.581298	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	825	713.485128	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	2512	2172.454112	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	107	92.536859	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112777:+	1	0.864830	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	1	0.864830	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	2	1.729661	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	16	13.837287	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	2	1.729661	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	2	1.729661	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	3	2.594491	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112759-46112775:+	1	0.864830	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112795-46112817:+	1	0.864830	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112819:+	1	0.864830	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	1	0.864830	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	3	2.594491	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	2	1.729661	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112820:+	1	0.864830	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	1	0.864830	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112824:+	1	0.864830	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	2	1.729661	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	10	8.648305	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	345	298.366508	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	7368	6372.070819	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	1939	1676.906259	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	5872	5078.284453	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	1921	1661.339311	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	2	1.729661	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113716:+	2	1.729661	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113710:+	1	0.864830	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	13	11.242796	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	8	6.918644	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	32	27.674575	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	17	14.702118	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	1	0.864830	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	1	0.864830	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	7	6.053813	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	6	5.188983	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	2	1.729661	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	1	0.864830	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113722:+	1	0.864830	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113697-46113713:+	1	0.864830	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113697-46113714:+	1	0.864830	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	3	2.594491	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113764:+	1	0.864830	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	8	6.918644	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	21	18.161440	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113750-46113766:+	1	0.864830	N	mature,MIMAT0004482
