miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.376459	N	precursor
hsa-let-7a-1	hg38:chr9:94175960-94175980:+	1	0.376459	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175982:+	1	0.376459	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175983:+	1	0.376459	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175984:+	3	1.129376	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	7	2.635211	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	6	2.258752	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	7	2.635211	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	208	78.303406	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	5447	2050.570448	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	3686	1387.626707	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	7382	2779.018000	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	239	89.973625	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	5	1.882293	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175981:+	1	0.376459	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	14	5.270422	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	13	4.893963	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	62	23.340438	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	7	2.635211	N	mature,MIMAT0000062
