miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175938-94175962:+	1	0.388954	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	4	1.555815	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	15	5.834308	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	17	6.612216	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.388954	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	139	54.064587	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	3397	1321.276282	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	11474	4462.856656	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	28271	10996.114740	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	738	287.047953	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	16	6.223262	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	3	1.166862	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	7	2.722677	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	22	8.556985	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	2	0.777908	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	2	0.777908	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	2	0.777908	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	6	2.333723	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	1	0.388954	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	1	0.388954	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	5	1.944769	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	8	3.111631	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.388954	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.388954	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	5	1.944769	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	2	0.777908	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	2	0.777908	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	11	4.278493	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.388954	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	797	309.996231	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	10	3.889539	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	34	13.224431	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	28161	10953.329815	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	3	1.166862	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	1	0.388954	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	7	2.722677	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	11328	4406.069392	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	2	0.777908	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146586:-	1	0.388954	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	1	0.388954	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	3407	1325.165821	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	2	0.777908	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146589:-	1	0.388954	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	123	47.841325	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	3	1.166862	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	45	17.502924	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	65	25.282001	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	39	15.169201	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.388954	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	138	53.675633	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	3552	1381.564131	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	11436	4448.076409	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	28308	11010.506033	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	754	293.271215	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	1	0.388954	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	6	2.333723	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	24	9.334893	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	2	0.777908	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	1	0.388954	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	2	0.777908	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	12	4.667446	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	1	0.388954	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	2	0.777908	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	3	1.166862	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	2	0.777908	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	1	0.388954	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	6	2.333723	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	16	6.223262	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	499	194.087979	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	12188	4740.569716	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	3569	1388.176347	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	10198	3966.551523	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	2454	954.492787	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	8	3.111631	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	5	1.944769	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	14	5.445354	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	7	2.722677	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	2	0.777908	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	1	0.388954	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	6	2.333723	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	1	0.388954	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113711:+	1	0.388954	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	3	1.166862	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	2	0.777908	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113711:+	1	0.388954	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	1	0.388954	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113762:+	1	0.388954	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	22	8.556985	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	87	33.838986	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539857:+	2	0.777908	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539858:+	3	1.166862	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	9	3.500585	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	36	14.002339	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	27	10.501754	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	25	9.723847	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	219	85.180897	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	1076	418.514360	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	973	378.452111	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	4372	1700.506301	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	238	92.571020	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539857:+	1	0.388954	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539859:+	1	0.388954	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	6	2.333723	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539861:+	1	0.388954	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539859:+	1	0.388954	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	3	1.166862	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539860:+	2	0.777908	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539883-16539903:+	2	0.777908	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	7	2.722677	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	32	12.446524	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178841-94178859:+	2	0.777908	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178860:+	1	0.388954	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	64	24.893047	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	117	45.507602	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	383	148.969331	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	30	11.668616	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178862:+	2	0.777908	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	10	3.889539	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178843-94178862:+	3	1.166862	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178843-94178863:+	3	1.166862	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178844-94178863:+	1	0.388954	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178913:+	3	1.166862	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178914:+	1	0.388954	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178915:+	30	11.668616	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	143	55.620403	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	326	126.798960	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178918:+	1	0.388954	N	mature,MIMAT0004484
