miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.402633	N	precursor
hsa-let-7a-1	hg38:chr9:94175960-94175983:+	1	0.402633	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	2	0.805266	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	10	4.026329	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	17	6.844759	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.402633	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	103	41.471188	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	1934	778.692023	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	6901	2778.569622	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	21400	8616.343997	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	846	340.627431	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	26	10.468455	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175990:+	1	0.402633	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	2	0.805266	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	4	1.610532	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	25	10.065822	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175986:+	1	0.402633	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	10	4.026329	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	1	0.402633	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	4	1.610532	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	1	0.402633	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	1	0.402633	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.402633	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	9	3.623696	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	16	6.442126	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	6	2.415797	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	1	0.402633	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	10	4.026329	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146583:-	1	0.402633	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	1	0.402633	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	805	324.119482	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	2	0.805266	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	8	3.221063	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	25	10.065822	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	21372	8605.070276	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	1	0.402633	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146592:-	1	0.402633	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	3	1.207899	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	4	1.610532	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	7210	2902.983188	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	1	0.402633	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	2	0.805266	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	1955	787.147314	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	127	51.134378	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	12	4.831595	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	53	21.339544	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	24	9.663190	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112780:+	1	0.402633	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	114	45.900150	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	1956	787.549947	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	7155	2880.838378	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	21635	8710.962727	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	868	349.485355	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	1	0.402633	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	1	0.402633	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	24	9.663190	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	4	1.610532	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112772:+	1	0.402633	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	2	0.805266	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	8	3.221063	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	1	0.402633	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	5	2.013164	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	2	0.805266	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	6	2.415797	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	13	5.234228	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	1	0.402633	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	5	2.013164	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	34	13.689518	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	303	121.997768	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	6278	2527.729328	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	2651	1067.379810	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	9496	3823.401990	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	3055	1230.043500	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	3	1.207899	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113710:+	1	0.402633	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	4	1.610532	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	2	0.805266	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	22	8.857924	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	10	4.026329	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	1	0.402633	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	1	0.402633	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	9	3.623696	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	1	0.402633	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	4	1.610532	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113713:+	1	0.402633	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113714:+	1	0.402633	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	3	1.207899	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113739-46113762:+	1	0.402633	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113762:+	1	0.402633	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	4	1.610532	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	55	22.144809	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539858:+	1	0.402633	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	7	2.818430	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	15	6.039493	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	29	11.676354	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	39	15.702683	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	1	0.402633	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	204	82.137111	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	576	231.916549	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	829	333.782672	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	5061	2037.725092	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	381	153.403134	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	1	0.402633	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539858:+	1	0.402633	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	18	7.247392	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539861:+	1	0.402633	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539840-16539859:+	1	0.402633	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	3	1.207899	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539881-16539903:+	1	0.402633	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539903:+	1	0.402633	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	9	3.623696	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	56	22.547442	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539906:+	2	0.805266	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539884-16539906:+	2	0.805266	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178840-94178863:+	1	0.402633	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178857:+	1	0.402633	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178858:+	1	0.402633	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178859:+	2	0.805266	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178860:+	1	0.402633	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	24	9.663190	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	87	35.029062	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	373	150.182071	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	47	18.923746	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178865:+	2	0.805266	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178862:+	1	0.402633	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	9	3.623696	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178864:+	2	0.805266	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178843-94178863:+	1	0.402633	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178893-94178915:+	1	0.402633	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178894-94178917:+	1	0.402633	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178911:+	1	0.402633	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178914:+	1	0.402633	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178915:+	14	5.636861	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	99	39.860657	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	386	155.416298	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178918:+	3	1.207899	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178916:+	1	0.402633	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	16	6.442126	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178900-94178916:+	1	0.402633	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692773-51692793:+	1	0.402633	N	precursor
hsa-let-7e	hg38:chr19:51692793-51692810:+	1	0.402633	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692811:+	20	8.052658	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692812:+	14	5.636861	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692813:+	260	104.684553	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692814:+	1148	462.222566	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692815:+	4711	1896.803578	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692816:+	196	78.916048	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692817:+	22	8.857924	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692815:+	2	0.805266	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692816:+	1	0.402633	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692798-51692815:+	1	0.402633	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692838-51692859:+	11	4.428962	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692860:+	34	13.689518	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692839-51692860:+	1	0.402633	N	mature,MIMAT0004485
hsa-let-7f-1	hg38:chr9:94176353-94176369:+	2	0.805266	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176370:+	4	1.610532	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176371:+	61	24.560607	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176372:+	61	24.560607	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176373:+	940	378.474923	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176374:+	4605	1854.124491	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176375:+	17938	7222.428907	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176376:+	142	57.173871	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176377:+	9	3.623696	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176354-94176371:+	1	0.402633	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176354-94176373:+	1	0.402633	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176354-94176374:+	9	3.623696	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176354-94176375:+	35	14.092151	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176356-94176372:+	1	0.402633	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176356-94176374:+	1	0.402633	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176356-94176375:+	6	2.415797	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176357-94176375:+	2	0.805266	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176382:+	1	0.402633	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176407-94176430:+	1	0.402633	N	mature,MIMAT0004486
hsa-let-7f-1	hg38:chr9:94176409-94176430:+	5	2.013164	N	mature,MIMAT0004486
hsa-let-7f-2	hg38:chrX:53557197-53557218:-	1	0.402633	N	mature,MIMAT0004487
hsa-let-7f-2	hg38:chrX:53557244-53557268:-	4	1.610532	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557245-53557267:-	1	0.402633	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557245-53557268:-	873	351.498519	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557245-53557269:-	1	0.402633	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557264:-	2	0.805266	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557265:-	5	2.013164	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557267:-	31	12.481620	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557268:-	18042	7264.302728	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557269:-	17	6.844759	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557267:-	12	4.831595	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557268:-	4587	1846.877099	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557269:-	12	4.831595	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557248-53557267:-	2	0.805266	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557248-53557268:-	916	368.811734	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557248-53557269:-	2	0.805266	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557249-53557268:-	55	22.144809	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557249-53557269:-	1	0.402633	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557250-53557268:-	63	25.365873	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557251-53557268:-	8	3.221063	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557252-53557268:-	6	2.415797	N	mature,MIMAT0000067
hsa-let-7g	hg38:chr3:52268278-52268301:-	1	0.402633	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268280-52268301:-	70	28.184303	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268280-52268302:-	1	0.402633	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268281-52268301:-	2	0.805266	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268335-52268357:-	2	0.805266	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268335-52268358:-	80	32.210632	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268335-52268359:-	2	0.805266	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268355:-	2	0.805266	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268357:-	8	3.221063	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268358:-	2402	967.124219	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268359:-	70	28.184303	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268337-52268358:-	495	199.303284	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268337-52268359:-	19	7.650025	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268338-52268355:-	1	0.402633	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268338-52268358:-	40	16.105316	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268338-52268359:-	4	1.610532	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268339-52268358:-	26	10.468455	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268339-52268359:-	2	0.805266	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268340-52268358:-	23	9.260557	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268340-52268359:-	2	0.805266	N	mature,MIMAT0000414
hsa-let-7i	hg38:chr12:62603668-62603691:+	2	0.805266	N	precursor
hsa-let-7i	hg38:chr12:62603691-62603708:+	1	0.402633	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603709:+	1	0.402633	N	mature,MIMAT0000415
