miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	2	2.690240	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	1	1.345120	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	33	44.388966	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	523	703.497850	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	1429	1922.176727	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	2674	3596.851343	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	59	79.362090	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	2	2.690240	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	3	4.035361	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	4	5.380481	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	1	1.345120	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	1	1.345120	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	1	1.345120	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	66	88.777931	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	2	2.690240	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	2721	3660.071991	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	1	1.345120	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	1353	1819.947594	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	542	729.055134	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	24	32.282884	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	1	1.345120	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	3	4.035361	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	15	20.176803	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	5	6.725601	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	25	33.628004	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	485	652.383284	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	1425	1916.796247	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	2646	3559.187978	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	63	84.742571	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	2	2.690240	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	4	5.380481	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	1	1.345120	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	1	1.345120	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	1	1.345120	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113709:+	2	2.690240	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	44	59.185288	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	865	1163.528950	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	408	548.809031	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	798	1073.405898	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	152	204.458266	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	1	1.345120	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	4	5.380481	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113765:+	3	4.035361	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	5	6.725601	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539837-16539857:+	1	1.345120	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	2	2.690240	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	3	4.035361	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	2	2.690240	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	37	49.769446	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	109	146.618099	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	167	224.635069	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	484	651.038164	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	11	14.796322	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	1	1.345120	N	mature,MIMAT0000064
