miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175960-94175980:+	1	0.421973	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175981:+	1	0.421973	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175982:+	1	0.421973	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175983:+	1	0.421973	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175984:+	2	0.843946	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	1	0.421973	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	4	1.687891	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	9	3.797755	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	3	1.265918	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	330	139.251024	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	7092	2992.631089	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	10299	4345.897855	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	14450	6097.506943	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	323	136.297214	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	4	1.687891	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175981:+	2	0.843946	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	18	7.595510	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	42	17.722858	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	75	31.647960	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	2	0.843946	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	1	0.421973	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	3	1.265918	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	3	1.265918	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	6	2.531837	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	34	14.347075	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	3	1.265918	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	1	0.421973	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	12	5.063674	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	1	0.421973	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175985:+	1	0.421973	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175987:+	1	0.421973	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	5	2.109864	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176010-94176030:+	1	0.421973	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	6	2.531837	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	15	6.329592	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	6	2.531837	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.421973	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.421973	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	18	7.595510	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	5	2.109864	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.421973	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146546:-	1	0.421973	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146526-122146545:-	1	0.421973	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146528-122146545:-	1	0.421973	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146528-122146546:-	1	0.421973	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	3	1.265918	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146583:-	2	0.843946	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	1	0.421973	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	1	0.421973	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	288	121.528166	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	4	1.687891	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	28	11.815238	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	2	0.843946	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	105	44.307144	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	14390	6072.188575	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	2	0.843946	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	8	3.375782	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	52	21.942586	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	10274	4335.348535	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	4	1.687891	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	11	4.641701	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	6934	2925.959387	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	356	150.222316	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	1	0.421973	Y	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112768:+	1	0.421973	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	6	2.531837	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	5	2.109864	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	46	19.410749	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	56	23.630477	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	31	13.081157	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.421973	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	328	138.407078	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	7133	3009.931974	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	10161	4287.665608	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	14353	6056.575581	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	338	142.626806	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	17	7.173538	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	45	18.988776	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	108	45.573062	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112773:+	1	0.421973	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	1	0.421973	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112772:+	3	1.265918	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	12	5.063674	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	30	12.659184	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	1	0.421973	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112772:+	1	0.421973	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	3	1.265918	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	9	3.797755	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112775:+	2	0.843946	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	1	0.421973	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112775:+	1	0.421973	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112758-46112775:+	2	0.843946	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112759-46112775:+	2	0.843946	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112819:+	1	0.421973	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	3	1.265918	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	19	8.017483	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	10	4.219728	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	1	0.421973	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112820:+	1	0.421973	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	1	0.421973	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	1	0.421973	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	1	0.421973	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112824:+	1	0.421973	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112803-46112822:+	1	0.421973	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112803-46112823:+	1	0.421973	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113690-46113711:+	1	0.421973	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	33	13.925102	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	129	54.434491	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	2616	1103.880842	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	50991	21516.814983	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	10284	4339.568263	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	16345	6897.145396	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	3726	1572.270648	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	3	1.265918	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113708:+	1	0.421973	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113710:+	5	2.109864	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	77	32.491906	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	44	18.566803	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	147	62.030001	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	75	31.647960	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113693-46113711:+	2	0.843946	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113693-46113713:+	1	0.421973	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113693-46113714:+	1	0.421973	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113710:+	1	0.421973	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	13	5.485646	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	2	0.843946	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	29	12.237211	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	17	7.173538	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113712:+	1	0.421973	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	9	3.797755	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	14	5.907619	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113711:+	2	0.843946	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113712:+	1	0.421973	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113713:+	1	0.421973	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113714:+	1	0.421973	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113697-46113713:+	1	0.421973	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113697-46113714:+	1	0.421973	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	27	11.393266	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113744-46113764:+	1	0.421973	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113764:+	1	0.421973	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	24	10.127347	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	72	30.382042	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113767:+	1	0.421973	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113765:+	1	0.421973	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113748-46113766:+	1	0.421973	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539858:+	1	0.421973	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	1	0.421973	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539856:+	1	0.421973	Y	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	5	2.109864	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	26	10.971293	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	9	3.797755	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	7	2.953810	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	474	200.015107	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	1413	596.247565	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	885	373.445927	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	2400	1012.734717	N	mature,MIMAT0000064
