miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	2	1.181338	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	11	6.497361	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	19	11.222715	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	69	40.756175	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	2225	1314.238967	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	6314	3729.485320	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	13610	8039.007794	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	274	161.843360	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	4	2.362677	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.590669	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	7	4.134684	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	14	8.269369	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	2	1.181338	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	2	1.181338	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	1	0.590669	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	1	0.590669	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	2	1.181338	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	2	1.181338	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	4	2.362677	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.590669	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.590669	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.590669	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146526-122146545:-	1	0.590669	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.590669	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	1	0.590669	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	258	152.392653	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146591:-	1	0.590669	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	1	0.590669	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	1	0.590669	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	3	1.772008	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	1	0.590669	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	17	10.041376	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	13654	8064.997239	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	1	0.590669	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	1	0.590669	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	14	8.269369	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	6328	3737.754689	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	1	0.590669	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	2225	1314.238967	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	63	37.212160	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	2	1.181338	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	20	11.813384	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	36	21.264091	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	21	12.404053	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	82	48.434874	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	2282	1347.907111	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	6542	3864.157898	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	13590	8027.194410	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	275	162.434030	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	1	0.590669	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	3	1.772008	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	7	4.134684	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	17	10.041376	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112772:+	1	0.590669	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	7	4.134684	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	1	0.590669	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	2	1.181338	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112795-46112817:+	2	1.181338	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	1	0.590669	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	4	2.362677	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	2	1.181338	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	1	0.590669	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113690-46113707:+	1	0.590669	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	3	1.772008	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	17	10.041376	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	371	219.138273	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	7725	4562.919560	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	2685	1585.946798	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	5946	3512.119055	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	1056	623.746674	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113709:+	1	0.590669	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	3	1.772008	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	8	4.725354	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	22	12.994722	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	3	1.772008	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	1	0.590669	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	5	2.953346	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	3	1.772008	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	1	0.590669	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113765:+	16	9.450707	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	52	30.714798	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113766:+	1	0.590669	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539837-16539857:+	1	0.590669	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	17	10.041376	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	11	6.497361	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	16	9.450707	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	129	76.196327	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	473	279.386531	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	477	281.749208	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	1756	1037.215113	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	60	35.440152	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539858:+	1	0.590669	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539859:+	3	1.772008	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	4	2.362677	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539883-16539903:+	2	1.181338	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	2	1.181338	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	30	17.720076	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178841-94178857:+	1	0.590669	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178859:+	2	1.181338	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	44	25.989445	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	79	46.662867	N	mature,MIMAT0000065
