miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	1	0.790514	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.790514	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	20	15.810277	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	546	431.620553	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	1248	986.561265	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	4046	3198.418972	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	102	80.632411	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	2	1.581028	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	1	0.790514	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	3	2.371542	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	1	0.790514	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	1	0.790514	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	1	0.790514	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	5	3.952569	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	9	7.114625	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	12	9.486166	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	2	1.581028	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.790514	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	4	3.162055	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	105	83.003953	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	3974	3141.501976	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	1	0.790514	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	1243	982.608696	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	3	2.371542	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	498	393.675889	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	20	15.810277	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	1	0.790514	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	2	1.581028	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	19	15.019763	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	11	8.695652	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	24	18.972332	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	520	411.067194	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	1276	1008.695652	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	3853	3045.849802	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	91	71.936759	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	2	1.581028	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	1	0.790514	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	3	2.371542	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	7	5.533597	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	2	1.581028	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113709:+	5	3.952569	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	40	31.620553	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	493	389.723320	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	226	178.656126	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	975	770.750988	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	281	222.134387	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	1	0.790514	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113765:+	4	3.162055	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	5	3.952569	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539859:+	3	2.371542	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539860:+	1	0.790514	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	2	1.581028	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	11	8.695652	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	27	21.343874	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	54	42.687747	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	1	0.790514	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539862:+	1	0.790514	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	63	49.802372	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	230	181.818182	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	367	290.118577	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	3066	2423.715415	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	144	113.833992	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	8	6.324111	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539864:+	1	0.790514	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539877-16539900:+	2	1.581028	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	3	2.371542	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	33	26.086957	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539906:+	5	3.952569	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178841-94178859:+	1	0.790514	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	16	12.648221	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	37	29.249012	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	219	173.122530	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	13	10.276680	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178862:+	2	1.581028	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178864:+	1	0.790514	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178894-94178917:+	1	0.790514	N	mature,MIMAT0004484
