miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.117948	N	precursor
hsa-let-7a-1	hg38:chr9:94175960-94175983:+	1	0.117948	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	1	0.117948	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	19	2.241016	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	34	4.010239	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	55	6.487151	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.117948	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	884	104.266210	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	29658	3498.107757	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	67230	7929.657580	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	133398	15734.054170	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	2463	290.506420	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	35	4.128187	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	4	0.471793	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	3	0.353845	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	16	1.887171	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	3	0.353845	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	1	0.117948	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	2	0.235896	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	1	0.117948	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.117948	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	1	0.117948	N	stemloop
hsa-let-7a-1	hg38:chr9:94176008-94176031:+	1	0.117948	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	5	0.589741	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	28	3.302550	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	24	2.830757	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	2	0.235896	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.117948	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	2	0.235896	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	4	0.471793	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	17	2.005119	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	6	0.707689	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146546:-	1	0.117948	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	3	0.353845	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146527-122146548:-	1	0.117948	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146546-122146568:-	2	0.235896	N	stemloop
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	31	3.656394	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	2370	279.537237	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	7	0.825637	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	24	2.830757	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	132970	15683.572340	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	8	0.943586	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	2	0.235896	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	3	0.353845	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	67696	7984.621442	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	20	2.358964	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	3	0.353845	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	29753	3509.312836	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	8	0.943586	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	882	104.030314	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	5	0.589741	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	6	0.707689	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	6	0.707689	N	precursor
hsa-let-7a-3	hg38:chr22:46112750-46112770:+	1	0.117948	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	9	1.061534	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	6	0.707689	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	277	32.671652	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	382	45.056213	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	110	12.974302	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.117948	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	838	98.840593	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	30007	3539.271679	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	66940	7895.452601	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	133663	15765.310443	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	2492	293.926918	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	4	0.471793	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	3	0.353845	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	5	0.589741	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	12	1.415378	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	1	0.117948	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	3	0.353845	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	12	1.415378	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	1	0.117948	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	13	1.533327	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	47	5.543565	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	26	3.066653	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112820:+	1	0.117948	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	3	0.353845	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	1	0.117948	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112825:+	1	0.117948	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112822:+	1	0.117948	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112823:+	1	0.117948	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112824:+	1	0.117948	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112803-46112824:+	1	0.117948	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112803-46112825:+	1	0.117948	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113671-46113691:+	1	0.117948	N	precursor
hsa-let-7b	hg38:chr22:46113690-46113713:+	1	0.117948	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	20	2.358964	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	121	14.271732	N	mature,MIMAT0000063
