miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175960-94175982:+	3	1.649054	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175983:+	1	0.549685	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	3	1.649054	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	2	1.099369	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	4	2.198738	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	203	111.585978	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	5534	3041.954679	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	2623	1441.822754	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	2863	1573.747063	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	48	26.384862	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	11	6.046531	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	20	10.993692	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	38	20.888016	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	5	2.748423	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	17	9.344639	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	1	0.549685	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	2	1.099369	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	1	0.549685	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	2	1.099369	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	13	7.145900	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	21	11.543377	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	7	3.847792	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176033:+	1	0.549685	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	4	2.198738	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	6	3.298108	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	4	2.198738	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	2	1.099369	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.549685	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	3	1.649054	N	mature,MIMAT0000062
