miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175960-94175984:+	1	0.775597	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	1	0.775597	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	2	1.551193	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	2	1.551193	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	35	27.145882	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	1055	818.254442	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	950	736.816796	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	2868	2224.411128	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	85	65.925713	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	5	3.877983	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	4	3.102387	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	9	6.980370	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.775597	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	2	1.551193	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	2	1.551193	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	3	2.326790	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	3	2.326790	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	1	0.775597	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	6	4.653580	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	6	4.653580	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	2	1.551193	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146548:-	1	0.775597	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	3	2.326790	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	1	0.775597	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	100	77.559663	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	1	0.775597	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	2	1.551193	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	5	3.877983	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	2800	2171.670558	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	2	1.551193	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	2	1.551193	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	1	0.775597	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	883	684.851822	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	1	0.775597	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146586:-	1	0.775597	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	2	1.551193	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	1087	843.073534	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	27	20.941109	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	1	0.775597	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	1	0.775597	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	2	1.551193	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146613:-	1	0.775597	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	1	0.775597	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	9	6.980370	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	12	9.307160	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	22	17.063126	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	42	32.575058	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	1118	867.117030	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	876	679.422646	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	2894	2244.576641	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	101	78.335259	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	3	2.326790	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112777:+	1	0.775597	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	3	2.326790	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	4	3.102387	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	2	1.551193	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	5	3.877983	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	5	3.877983	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	1	0.775597	N	mature,MIMAT0000062
hsa-let-7b	hg38:chr22:46113690-46113712:+	1	0.775597	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	4	3.102387	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	20	15.511933	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	366	283.868366	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	8825	6844.640240	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	2453	1902.538528	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	6436	4991.739896	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	1345	1043.177464	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	2	1.551193	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113716:+	1	0.775597	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113718:+	1	0.775597	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113710:+	1	0.775597	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	7	5.429176	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	3	2.326790	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	21	16.287529	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	6	4.653580	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	1	0.775597	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	9	6.980370	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	1	0.775597	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	1	0.775597	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113762:+	1	0.775597	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	5	3.877983	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	22	17.063126	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113766:+	1	0.775597	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539858:+	3	2.326790	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539860:+	1	0.775597	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539856:+	1	0.775597	Y	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	3	2.326790	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	15	11.633949	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	12	9.307160	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	17	13.185143	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	104	80.662049	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	423	328.077374	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	331	256.722484	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	1624	1259.568923	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	99	76.784066	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	1	0.775597	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539859:+	1	0.775597	N	mature,MIMAT0000064
