miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.196451	N	precursor
hsa-let-7a-1	hg38:chr9:94175960-94175983:+	1	0.196451	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175984:+	2	0.392903	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	15	2.946770	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	14	2.750318	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	28	5.500637	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	243	47.737667	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	6737	1323.492433	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	17545	3446.738123	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	35112	6897.798174	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	922	181.128102	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	17	3.339672	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	5	0.982257	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	20	3.929026	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	38	7.465150	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	1	0.196451	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	1	0.196451	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	5	0.982257	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.196451	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	3	0.589354	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175988:+	1	0.196451	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	1	0.196451	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175968-94175985:+	1	0.196451	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	1	0.196451	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175986:+	1	0.196451	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.196451	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.196451	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	6	1.178708	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	11	2.160964	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	6	1.178708	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.196451	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	4	0.785805	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	1	0.196451	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	2	0.392903	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	10	1.964513	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	1	0.196451	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	1	0.196451	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	868	170.519732	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	5	0.982257	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	8	1.571610	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	1	0.196451	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	42	8.250955	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	35205	6916.068145	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	3	0.589354	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	1	0.196451	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	1	0.196451	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	13	2.553867	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	17617	3460.882616	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146586:-	1	0.196451	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	8	1.571610	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	6859	1347.459492	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146589:-	1	0.196451	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	278	54.613462	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	2	0.392903	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	2	0.392903	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	25	4.911283	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	61	11.983530	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	25	4.911283	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	284	55.792170	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	6860	1347.655943	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	17754	3487.796445	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	35000	6875.795628	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	964	189.379057	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	1	0.196451	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	3	0.589354	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	18	3.536123	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	51	10.019016	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	2	0.392903	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112772:+	2	0.392903	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	3	0.589354	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	7	1.375159	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	1	0.196451	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	1	0.196451	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	6	1.178708	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112775:+	1	0.196451	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112795-46112817:+	1	0.196451	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112797-46112818:+	1	0.196451	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	6	1.178708	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	13	2.553867	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	6	1.178708	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113690-46113707:+	1	0.196451	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113690-46113712:+	1	0.196451	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113690-46113713:+	1	0.196451	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	11	2.160964	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	35	6.875796	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	935	183.681969	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	20522	4031.573654	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	6714	1318.974053	N	mature,MIMAT0000063
