miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175960-94175982:+	1	0.670682	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175983:+	1	0.670682	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175984:+	2	1.341365	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	3	2.012047	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	3	2.012047	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	4	2.682729	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	229	153.586239	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	5189	3480.170273	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	7094	4757.819988	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	9033	6058.272899	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	228	152.915556	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	4	2.682729	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	3	2.012047	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	8	5.365458	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	28	18.779103	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	1	0.670682	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	1	0.670682	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	5	3.353411	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.670682	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	3	2.012047	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	3	2.012047	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	1	0.670682	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	1	0.670682	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176005:+	1	0.670682	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	1	0.670682	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.670682	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	6	4.024094	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	7	4.694776	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	4	2.682729	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176033:+	1	0.670682	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.670682	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	4	2.682729	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	1	0.670682	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.670682	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	1	0.670682	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146583:-	2	1.341365	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	1	0.670682	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.670682	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	1	0.670682	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	222	148.891463	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	5	3.353411	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	18	12.072281	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	31	20.791150	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	9250	6203.810951	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	1	0.670682	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	10	6.706823	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	11	7.377505	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	7035	4718.249734	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146586:-	2	1.341365	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	1	0.670682	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	7	4.694776	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	5263	3529.800760	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146589:-	1	0.670682	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	193	129.441677	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	10	6.706823	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	1	0.670682	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	40	26.827291	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	49	32.863431	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	21	14.084328	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	226	151.574192	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	5425	3638.451287	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	7147	4793.366148	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	9127	6121.317032	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	250	167.670566	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	5	3.353411	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	20	13.413645	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	28	18.779103	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	1	0.670682	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112773:+	1	0.670682	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112772:+	1	0.670682	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	5	3.353411	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	10	6.706823	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112772:+	1	0.670682	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	2	1.341365	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	4	2.682729	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112777:+	1	0.670682	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112795-46112816:+	1	0.670682	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112817:+	1	0.670682	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	2	1.341365	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	11	7.377505	N	mature,MIMAT0004481
