miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175960-94175983:+	1	0.624356	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175984:+	1	0.624356	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	2	1.248711	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	1	0.624356	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	3	1.873067	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	36	22.476807	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	1301	812.286822	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	1030	643.086415	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	3326	2076.607201	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	137	85.536737	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	6	3.746134	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	3	1.873067	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	2	1.248711	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	11	6.867913	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	2	1.248711	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	2	1.248711	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	1	0.624356	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.624356	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	3	1.873067	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	5	3.121779	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	7	4.370490	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.624356	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	7	4.370490	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	1	0.624356	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	4	2.497423	N	mature,MIMAT0000062
