miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175939-94175962:+	1	0.488850	N	precursor
hsa-let-7a-1	hg38:chr9:94175960-94175984:+	1	0.488850	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	1	0.488850	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	7	3.421952	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	15	7.332755	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	99	48.396180	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	2304	1126.311097	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	6228	3044.559683	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	17720	8662.427357	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	493	241.003199	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	12	5.866204	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	2	0.977701	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	10	4.888503	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	25	12.221258	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.488850	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	5	2.444252	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	7	3.421952	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.488850	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	1	0.488850	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	7	3.421952	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	3	1.466551	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	8	3.910802	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	8	3.910802	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	3	1.466551	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	10	4.888503	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	3	1.466551	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146527-122146545:-	1	0.488850	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	9	4.399653	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146583:-	2	0.977701	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146585:-	1	0.488850	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.488850	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	500	244.425151	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	1	0.488850	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	10	4.888503	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	31	15.154359	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	17635	8620.875081	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	1	0.488850	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	6	2.933102	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	9	4.399653	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	6344	3101.266318	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	1	0.488850	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146586:-	1	0.488850	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	3	1.466551	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	2322	1135.110402	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	90	43.996527	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	1	0.488850	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	2	0.977701	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	3	1.466551	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	33	16.132060	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	84	41.063425	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	47	22.975964	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.488850	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	95	46.440779	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	2244	1096.980078	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	6466	3160.906055	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	17576	8592.032913	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	517	252.735606	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	4	1.955401	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	2	0.977701	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	6	2.933102	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	30	14.665509	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	1	0.488850	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	3	1.466551	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	8	3.910802	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	1	0.488850	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	1	0.488850	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	2	0.977701	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	3	1.466551	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	9	4.399653	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	11	5.377353	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	1	0.488850	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	1	0.488850	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112824:+	2	0.977701	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	2	0.977701	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	19	9.288156	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	462	225.848840	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	9778	4779.978256	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	3495	1708.531807	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	12327	6026.057677	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	3738	1827.322430	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	3	1.466551	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113710:+	1	0.488850	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	4	1.955401	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	9	4.399653	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	37	18.087461	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	19	9.288156	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	2	0.977701	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	10	4.888503	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	10	4.888503	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113711:+	1	0.488850	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	4	1.955401	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	3	1.466551	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113714:+	1	0.488850	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113697-46113713:+	1	0.488850	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113697-46113714:+	1	0.488850	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	3	1.466551	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113762:+	1	0.488850	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113764:+	2	0.977701	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	22	10.754707	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	80	39.108024	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539835-16539860:+	1	0.488850	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539858:+	3	1.466551	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	8	3.910802	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	13	6.355054	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	15	7.332755	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	5	2.444252	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	117	57.195485	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	451	220.471486	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	517	252.735606	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	2445	1195.238989	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	139	67.950192	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	1	0.488850	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539859:+	1	0.488850	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	11	5.377353	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	3	1.466551	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539843-16539860:+	1	0.488850	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539883-16539904:+	14	6.843904	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	57	27.864467	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539906:+	1	0.488850	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178841-94178859:+	2	0.977701	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178860:+	2	0.977701	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	46	22.487114	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	116	56.706635	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	322	157.409797	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	33	16.132060	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178865:+	1	0.488850	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178861:+	1	0.488850	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178862:+	4	1.955401	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	13	6.355054	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178843-94178862:+	2	0.977701	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178843-94178863:+	5	2.444252	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178843-94178864:+	2	0.977701	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178845-94178863:+	1	0.488850	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178848-94178864:+	1	0.488850	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178911:+	2	0.977701	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178915:+	28	13.687808	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	199	97.281210	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	532	260.068361	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178918:+	2	0.977701	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178916:+	5	2.444252	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	13	6.355054	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692793-51692810:+	1	0.488850	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692811:+	11	5.377353	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692812:+	13	6.355054	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692813:+	238	116.346372	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692814:+	776	379.347835	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692815:+	2602	1271.988487	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692816:+	118	57.684336	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692817:+	4	1.955401	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692814:+	1	0.488850	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692815:+	3	1.466551	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692816:+	1	0.488850	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692817:+	1	0.488850	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692796-51692815:+	2	0.977701	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692797-51692815:+	1	0.488850	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692836-51692858:+	2	0.977701	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692858:+	2	0.977701	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692859:+	13	6.355054	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692860:+	21	10.265856	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692839-51692860:+	3	1.466551	N	mature,MIMAT0004485
hsa-let-7f-1	hg38:chr9:94176353-94176369:+	4	1.955401	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176370:+	4	1.955401	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176371:+	29	14.176659	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176372:+	45	21.998264	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176373:+	773	377.881284	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176374:+	3322	1623.960704	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176375:+	14161	6922.609131	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176376:+	78	38.130324	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176377:+	8	3.910802	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176354-94176373:+	1	0.488850	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176354-94176374:+	5	2.444252	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176354-94176375:+	42	20.531713	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176356-94176374:+	1	0.488850	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176356-94176375:+	5	2.444252	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176357-94176375:+	1	0.488850	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176379:+	17	8.310455	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176380:+	2	0.977701	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176381:+	1	0.488850	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176409-94176430:+	6	2.933102	N	mature,MIMAT0004486
hsa-let-7f-2	hg38:chrX:53557197-53557218:-	1	0.488850	N	mature,MIMAT0004487
hsa-let-7f-2	hg38:chrX:53557198-53557218:-	1	0.488850	N	mature,MIMAT0004487
hsa-let-7f-2	hg38:chrX:53557244-53557268:-	4	1.955401	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557245-53557267:-	3	1.466551	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557245-53557268:-	390	190.651618	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557264:-	1	0.488850	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557265:-	2	0.977701	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557267:-	42	20.531713	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557268:-	14317	6998.869778	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557269:-	13	6.355054	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557270:-	2	0.977701	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557264:-	2	0.977701	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557267:-	7	3.421952	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557268:-	3473	1697.777100	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557269:-	7	3.421952	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557248-53557268:-	786	384.236338	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557248-53557269:-	1	0.488850	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557249-53557268:-	40	19.554012	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557250-53557268:-	25	12.221258	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557251-53557268:-	1	0.488850	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557252-53557268:-	5	2.444252	N	mature,MIMAT0000067
hsa-let-7g	hg38:chr3:52268277-52268298:-	1	0.488850	N	mature,MIMAT0004584
