miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175936-94175962:+	1	0.315208	N	precursor
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.315208	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.315208	N	precursor
hsa-let-7a-1	hg38:chr9:94175960-94175983:+	1	0.315208	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	1	0.315208	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	2	0.630415	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	9	2.836869	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	143	45.074692	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	2840	895.189679	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	2780	876.277221	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	9658	3044.275325	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	170	53.585298	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	4	1.260831	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175981:+	2	0.630415	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	7	2.206453	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	23	7.249776	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	102	32.151179	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	4	1.260831	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175981:+	1	0.315208	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.315208	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	17	5.358530	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	86	27.107856	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.315208	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	3	0.945623	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	42	13.238721	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	5	1.576038	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175988:+	1	0.315208	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	1	0.315208	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176008-94176029:+	1	0.315208	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.315208	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	2	0.630415	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	3	0.945623	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	5	1.576038	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.315208	N	mature,MIMAT0004481
