miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175960-94175983:+	1	0.311145	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	4	1.244579	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	1	0.311145	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	11	3.422592	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.311145	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	98	30.492187	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	2311	719.055564	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	2482	772.261319	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	7193	2238.064331	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	478	148.727200	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	11	3.422592	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175981:+	1	0.311145	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.311145	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	5	1.555724	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	21	6.534040	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.311145	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	2	0.622290	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	3	0.933434	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	7	2.178013	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	5	1.555724	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.311145	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.311145	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146544:-	1	0.311145	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	5	1.555724	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.311145	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	16	4.978316	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	455	141.570870	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	1	0.311145	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	10	3.111448	N	mature,MIMAT0000062
