miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175960-94175984:+	1	0.551809	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	1	0.551809	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	1	0.551809	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	4	2.207236	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	67	36.971208	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	1815	1001.533477	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	1384	763.703765	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	4004	2209.443550	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	175	96.566589	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	3	1.655427	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.551809	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	5	2.759045	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	13	7.173518	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	3	1.655427	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	2	1.103618	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	3	1.655427	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	1	0.551809	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176008-94176030:+	1	0.551809	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	4	2.207236	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	7	3.862664	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	6	3.310854	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	6	3.310854	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	4	2.207236	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	8	4.414473	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	1	0.551809	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	151	83.323171	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	3	1.655427	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	16	8.828945	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	4033	2225.446013	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	4	2.207236	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	5	2.759045	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	1442	795.708691	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146586:-	1	0.551809	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	6	3.310854	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	1902	1049.540867	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	56	30.901308	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	1	0.551809	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	1	0.551809	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	21	11.587991	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	31	17.106081	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	19	10.484372	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	56	30.901308	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	1769	976.150260	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	1442	795.708691	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	3866	2133.293897	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	159	87.737643	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	4	2.207236	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	7	3.862664	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	22	12.139800	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	3	1.655427	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	8	4.414473	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	2	1.103618	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	5	2.759045	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	10	5.518091	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	6	3.310854	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112820:+	1	0.551809	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	3	1.655427	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	14	7.725327	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	381	210.239259	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	9415	5195.282474	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	2351	1297.303143	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	6672	3681.670172	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	2122	1170.938865	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113720:+	1	0.551809	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	14	7.725327	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	12	6.621709	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	37	20.416936	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	16	8.828945	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113693-46113711:+	1	0.551809	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	1	0.551809	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	2	1.103618	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	1	0.551809	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	1	0.551809	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113711:+	1	0.551809	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113714:+	1	0.551809	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	1	0.551809	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113739-46113763:+	1	0.551809	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	12	6.621709	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	53	29.245881	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113765:+	1	0.551809	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113748-46113766:+	1	0.551809	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113750-46113766:+	2	1.103618	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539837-16539857:+	1	0.551809	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	12	6.621709	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	14	7.725327	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	22	12.139800	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	157	86.634025	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	559	308.461275	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	409	225.689913	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	1972	1088.167503	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	134	73.942417	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	4	2.207236	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539859:+	1	0.551809	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	8	4.414473	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539861:+	1	0.551809	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539858:+	1	0.551809	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	1	0.551809	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539858:+	1	0.551809	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539883-16539903:+	6	3.310854	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	5	2.759045	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	32	17.657891	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539906:+	1	0.551809	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178841-94178861:+	41	22.624172	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	86	47.455581	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	268	147.884833	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	25	13.795227	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178865:+	1	0.551809	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178861:+	1	0.551809	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178862:+	8	4.414473	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	12	6.621709	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178864:+	1	0.551809	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178843-94178863:+	2	1.103618	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178914:+	2	1.103618	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178915:+	55	30.349499	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	161	88.841262	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	476	262.661121	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178918:+	1	0.551809	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178915:+	5	2.759045	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178916:+	5	2.759045	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	20	11.036182	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178897-94178915:+	1	0.551809	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178897-94178916:+	2	1.103618	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178899-94178915:+	1	0.551809	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692793-51692811:+	5	2.759045	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692812:+	2	1.103618	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692813:+	58	32.004927	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692814:+	246	135.745033	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692815:+	822	453.587063	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692816:+	41	22.624172	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692817:+	3	1.655427	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692814:+	1	0.551809	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692815:+	6	3.310854	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692816:+	4	2.207236	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692797-51692815:+	1	0.551809	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692838-51692858:+	2	1.103618	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692859:+	8	4.414473	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692860:+	9	4.966282	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692839-51692860:+	1	0.551809	N	mature,MIMAT0004485
hsa-let-7f-1	hg38:chr9:94176353-94176368:+	1	0.551809	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176370:+	6	3.310854	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176371:+	21	11.587991	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176372:+	6	3.310854	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176373:+	310	171.060814	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176374:+	555	306.254039	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176375:+	1245	687.002303	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176376:+	23	12.691609	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176377:+	2	1.103618	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176354-94176373:+	4	2.207236	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176354-94176375:+	12	6.621709	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176354-94176376:+	1	0.551809	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176355-94176377:+	1	0.551809	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176356-94176374:+	1	0.551809	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176356-94176375:+	3	1.655427	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176357-94176375:+	2	1.103618	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176379:+	26	14.347036	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176380:+	5	2.759045	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176382:+	1	0.551809	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176383-94176400:+	1	0.551809	N	unannotated
hsa-let-7f-1	hg38:chr9:94176403-94176426:+	1	0.551809	N	mature,MIMAT0004486
hsa-let-7f-1	hg38:chr9:94176406-94176428:+	1	0.551809	N	mature,MIMAT0004486
hsa-let-7f-1	hg38:chr9:94176409-94176429:+	1	0.551809	N	mature,MIMAT0004486
hsa-let-7f-1	hg38:chr9:94176409-94176430:+	3	1.655427	N	mature,MIMAT0004486
hsa-let-7f-2	hg38:chrX:53557245-53557267:-	1	0.551809	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557245-53557268:-	60	33.108545	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557264:-	1	0.551809	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557265:-	4	2.207236	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557267:-	8	4.414473	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557268:-	1201	662.722703	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557265:-	1	0.551809	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557267:-	5	2.759045	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557268:-	568	313.427557	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557269:-	1	0.551809	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557248-53557267:-	1	0.551809	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557248-53557268:-	287	158.369206	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557249-53557268:-	8	4.414473	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557250-53557268:-	18	9.932563	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557251-53557268:-	2	1.103618	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557253-53557268:-	2	1.103618	N	mature,MIMAT0000067
hsa-let-7g	hg38:chr3:52268278-52268301:-	2	1.103618	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268279-52268301:-	3	1.655427	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268280-52268301:-	68	37.523017	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268281-52268301:-	2	1.103618	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268335-52268358:-	39	21.520554	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268354:-	2	1.103618	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268355:-	1	0.551809	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268357:-	12	6.621709	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268358:-	708	390.680828	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268359:-	10	5.518091	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268337-52268357:-	3	1.655427	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268337-52268358:-	95	52.421862	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268337-52268359:-	9	4.966282	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268338-52268358:-	21	11.587991	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268338-52268359:-	6	3.310854	N	mature,MIMAT0000414
hsa-let-7i	hg38:chr12:62603691-62603710:+	3	1.655427	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603711:+	2	1.103618	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603712:+	96	52.973672	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603713:+	181	99.877443	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603714:+	471	259.902076	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603715:+	4	2.207236	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603692-62603713:+	3	1.655427	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603694-62603712:+	2	1.103618	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603694-62603713:+	1	0.551809	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603694-62603714:+	1	0.551809	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603747-62603764:+	1	0.551809	N	mature,MIMAT0004585
hsa-let-7i	hg38:chr12:62603747-62603766:+	5	2.759045	N	mature,MIMAT0004585
hsa-let-7i	hg38:chr12:62603747-62603767:+	45	24.831409	N	mature,MIMAT0004585
hsa-let-7i	hg38:chr12:62603747-62603768:+	31	17.106081	N	mature,MIMAT0004585
hsa-let-7i	hg38:chr12:62603747-62603769:+	33	18.209700	N	mature,MIMAT0004585
hsa-mir-1-1	hg38:chr20:62554351-62554370:+	1	0.551809	N	mature,MIMAT0000416
hsa-mir-1-1	hg38:chr20:62554351-62554373:+	15	8.277136	N	mature,MIMAT0000416
hsa-mir-1-1	hg38:chr20:62554352-62554373:+	1	0.551809	N	mature,MIMAT0000416
hsa-mir-1-2	hg38:chr18:21829014-21829037:-	1	0.551809	N	mature,MIMAT0000416
hsa-mir-1-2	hg38:chr18:21829015-21829034:-	1	0.551809	N	mature,MIMAT0000416
hsa-mir-1-2	hg38:chr18:21829015-21829037:-	8	4.414473	N	mature,MIMAT0000416
hsa-mir-1-2	hg38:chr18:21829016-21829037:-	1	0.551809	N	mature,MIMAT0000416
hsa-mir-1-2	hg38:chr18:21829019-21829037:-	1	0.551809	N	mature,MIMAT0000416
hsa-mir-100	hg38:chr11:122152273-122152297:-	2	1.103618	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152274-122152297:-	2	1.103618	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152275-122152295:-	4	2.207236	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152275-122152296:-	8	4.414473	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152275-122152297:-	262	144.573979	N	mature,MIMAT0000098
