miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	1	0.726906	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	14	10.176682	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	514	373.629601	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	437	317.657851	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	2000	1453.811676	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	77	55.971750	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	3	2.180718	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.726906	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	1	0.726906	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	11	7.995964	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	2	1.453812	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	1	0.726906	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	2	1.453812	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	1	0.726906	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	6	4.361435	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	4	2.907623	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	4	2.907623	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	1	0.726906	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	2	1.453812	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	97	70.509866	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	2	1.453812	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	2	1.453812	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	6	4.361435	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	1995	1450.177147	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	1	0.726906	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	1	0.726906	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	479	348.187896	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	519	377.264130	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	15	10.903588	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	2	1.453812	N	precursor
hsa-let-7a-3	hg38:chr22:46112746-46112774:+	1	0.726906	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	1	0.726906	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	1	0.726906	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	4	2.907623	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	11	7.995964	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	19	13.811211	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.726906	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	17	12.357399	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	533	387.440812	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	500	363.452919	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	2091	1519.960107	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	91	66.148431	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	12	8.722870	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	2	1.453812	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	1	0.726906	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	2	1.453812	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112759-46112775:+	2	1.453812	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	3	2.180718	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	1	0.726906	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	6	4.361435	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113690-46113713:+	2	1.453812	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	2	1.453812	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	5	3.634529	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	83	60.333185	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	1506	1094.720192	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	630	457.950678	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	1946	1414.558761	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	685	497.930499	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	1	0.726906	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	1	0.726906	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	2	1.453812	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	5	3.634529	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	2	1.453812	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	3	2.180718	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	1	0.726906	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113697-46113714:+	1	0.726906	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	1	0.726906	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113765:+	3	2.180718	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	5	3.634529	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113766:+	1	0.726906	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539859:+	1	0.726906	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	3	2.180718	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	3	2.180718	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	7	5.088341	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	34	24.714798	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	85	61.786996	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	84	61.060090	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	434	315.477134	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	36	26.168610	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	1	0.726906	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	1	0.726906	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539883-16539904:+	2	1.453812	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178841-94178859:+	1	0.726906	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178860:+	2	1.453812	N	mature,MIMAT0000065
