miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175960-94175982:+	1	0.428148	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175960-94175984:+	1	0.428148	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	3	1.284445	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	3	1.284445	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	11	4.709630	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	83	35.536298	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	2610	1117.466733	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	3496	1496.806015	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	7294	3122.912778	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	197	84.345190	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	8	3.425185	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.428148	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	3	1.284445	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	12	5.137778	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	2	0.856296	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	13	5.565926	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	1	0.428148	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	4	1.712593	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	3	1.284445	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175988:+	1	0.428148	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175985-94176007:+	2	0.856296	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	5	2.140741	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	9	3.853334	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	6	2.568889	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.428148	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	3	1.284445	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	2	0.856296	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	2	0.856296	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	2	0.856296	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	178	76.210375	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	3	1.284445	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	14	5.994074	N	mature,MIMAT0000062
