miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.682491	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	1	0.682491	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	1	0.682491	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	5	3.412457	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	18	12.284845	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	515	351.483054	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	726	495.488732	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	2712	1850.916586	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	100	68.249137	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	5	3.412457	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.682491	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	10	6.824914	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	5	3.412457	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.682491	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	2	1.364983	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	8	5.459931	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	7	4.777440	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	2	1.364983	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	10	6.824914	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	1	0.682491	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	1	0.682491	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	99	67.566645	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	3	2.047474	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	7	4.777440	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	2639	1801.094716	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	3	2.047474	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	690	470.919043	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	1	0.682491	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	2	1.364983	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	522	356.260493	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	18	12.284845	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	1	0.682491	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	10	6.824914	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	22	15.014810	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	36	24.569689	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.682491	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	17	11.602353	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	521	355.578002	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	693	472.966517	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	2735	1866.613887	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	104	70.979102	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112779:+	1	0.682491	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	1	0.682491	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	2	1.364983	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	9	6.142422	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	1	0.682491	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	3	2.047474	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	6	4.094948	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	1	0.682491	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	2	1.364983	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112799-46112821:+	1	0.682491	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	2	1.364983	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	8	5.459931	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	8	5.459931	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112824:+	2	1.364983	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	1	0.682491	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	6	4.094948	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	61	41.631973	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	1291	881.096354	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	475	324.183399	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	1707	1165.012763	N	mature,MIMAT0000063
