miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.235179	N	precursor
hsa-let-7a-1	hg38:chr9:94175960-94175984:+	3	0.705538	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	1	0.235179	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	9	2.116613	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	2	0.470358	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	14	3.292509	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	125	29.397405	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	2739	644.155937	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	4258	1001.393202	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	12261	2883.532656	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	310	72.905564	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	7	1.646255	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175981:+	1	0.235179	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	4	0.940717	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	8	1.881434	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	31	7.290556	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	1	0.235179	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	10	2.351792	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	42	9.877528	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	2	0.470358	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175982:+	1	0.235179	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	29	6.820198	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	1	0.235179	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	1	0.235179	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	5	1.175896	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.235179	N	stemloop
hsa-let-7a-1	hg38:chr9:94176012-94176035:+	1	0.235179	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	2	0.470358	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	13	3.057330	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	16	3.762868	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	2	0.470358	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	2	0.470358	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.235179	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	3	0.705538	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.235179	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	16	3.762868	N	mature,MIMAT0010195
