miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175941-94175962:+	1	0.308644	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	3	0.925932	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	3	0.925932	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	11	3.395085	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	175	54.012712	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	4803	1482.417473	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	8095	2498.473755	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	20683	6383.685321	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	732	225.927460	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	18	5.555593	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	1	0.308644	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	3	0.925932	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	1	0.308644	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	2	0.617288	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	7	2.160508	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	7	2.160508	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	6	1.851864	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	7	2.160508	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	3	0.925932	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	4	1.234576	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.308644	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146589:-	1	0.308644	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	16	4.938305	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.308644	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	710	219.137290	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146591:-	1	0.308644	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	2	0.617288	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	4	1.234576	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	2	0.617288	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	20244	6248.190574	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	4	1.234576	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	2	0.617288	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	8197	2529.955450	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	4	1.234576	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	1	0.308644	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	4804	1482.726117	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	2	0.617288	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	159	49.074407	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	1	0.308644	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	37	11.419831	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	61	18.827288	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	56	17.284068	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.308644	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	154	47.531187	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	4783	1476.244592	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	7986	2464.831551	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	20312	6269.178371	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	765	236.112714	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	8	2.469153	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	1	0.308644	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	4	1.234576	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112772:+	1	0.308644	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	2	0.617288	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	7	2.160508	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	1	0.308644	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	5	1.543220	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	5	1.543220	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	6	1.851864	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	1	0.308644	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	1	0.308644	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	1	0.308644	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112824:+	1	0.308644	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	8	2.469153	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	36	11.111187	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	634	195.680341	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	16619	5129.355817	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	5300	1635.813577	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	15102	4661.142761	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	6020	1858.037308	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	3	0.925932	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	5	1.543220	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	1	0.308644	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	2	0.617288	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	2	0.617288	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	4	1.234576	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	1	0.308644	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113739-46113763:+	2	0.617288	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	13	4.012373	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	52	16.049492	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113765:+	1	0.308644	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113766:+	1	0.308644	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539858:+	1	0.308644	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	1	0.308644	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	7	2.160508	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	11	3.395085	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	23	7.098814	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	1	0.308644	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	115	35.494068	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	442	136.420679	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	332	102.469832	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	2036	628.399329	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	211	65.123899	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	8	2.469153	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	1	0.308644	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	1	0.308644	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539844-16539860:+	1	0.308644	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539883-16539904:+	8	2.469153	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	11	3.395085	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178841-94178859:+	2	0.617288	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178860:+	1	0.308644	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	69	21.296441	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	119	36.728644	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	386	119.136611	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	54	16.666780	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178859:+	1	0.308644	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178861:+	1	0.308644	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178862:+	2	0.617288	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	7	2.160508	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178864:+	2	0.617288	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178865:+	1	0.308644	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178915:+	26	8.024746	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	128	39.506441	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	421	129.939154	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178919:+	1	0.308644	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178915:+	2	0.617288	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178916:+	6	1.851864	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	21	6.481525	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692793-51692810:+	1	0.308644	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692811:+	8	2.469153	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692812:+	18	5.555593	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692813:+	370	114.198306	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692814:+	1059	326.854071	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692815:+	3103	957.722552	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692816:+	195	60.185594	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692817:+	49	15.123559	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692816:+	1	0.308644	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692817:+	1	0.308644	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692798-51692819:+	1	0.308644	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692815-51692835:+	1	0.308644	N	stemloop
hsa-let-7e	hg38:chr19:51692835-51692858:+	1	0.308644	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692858:+	5	1.543220	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692859:+	6	1.851864	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692860:+	16	4.938305	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692839-51692860:+	1	0.308644	N	mature,MIMAT0004485
hsa-let-7f-1	hg38:chr9:94176353-94176369:+	1	0.308644	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176370:+	4	1.234576	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176371:+	20	6.172881	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176372:+	34	10.493898	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176373:+	995	307.100851	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176374:+	3124	964.204078	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176375:+	11631	3589.839190	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176376:+	133	41.049661	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176377:+	9	2.777797	N	mature,MIMAT0000067
